id,HOTEL,OWNER,STREETNO1,STREET,STREETNO2,STREETNO3,POSTCODE,EASTING,GRADE,NORTHING,ROOMS
1,Premier Inn Edinburgh Park,Whitbread,1,Lochside Way,,,,318337,n/a,671350,120
2,Marriott Dalmahoy Hotel & Country Club,,,"Long Dalmahoy, Kirknewton",,,EH278EB,314388,4* HO,668725,203
3,Caledonian Hotel,Hilton,4,Lothian Road    (/Princes Street),,,EH12AB,324700,5* HO,673620,235
4,Glenisla Hotel,,12,Lygon Road,,,EH165QB,327023,3,670992,10
5,Thistle Hotel,,59,Manor Place,,,EH37EG,324080,3,673700,11
6,Ceilidh-Donia Hotel [formerly Marchhall Hotel],,14,Marchhall Crescent,-,16,EH165HL,327106,3,672057,17
7,St. Christopher's Inn [formerly Station Hotel],St. Christopher's Inns,9,Market Street,to,13,EH11DE,325762,n/a,673737,
8,Motel One,,18,Market Street / 6 Cockburn Street,to,21,EH11BL,325690,n/a,673712,208
9,Ivy Guest House,,7,Mayfield Gardens,,,EH92AX,326777,n/a,671797,8
10,Ben Doran Guest House,,11,Mayfield Gardens,,,EH92AX,326783,4*GH,671780,10
11,Allison House Hotel,,17,Mayfield Gardens,,,EH92AX,326798,4* GH,671757,11
12,Barony Guest House,,23,Mayfield Gardens,,,EH92BX,326847,4*GH,671670,9
13,Glenalmond Guest House,,25,Mayfield Gardens,,,EH92BX,326854,GH 4*,671654,10
14,Arrandale Guest House,,28,Mayfield Gardens,,,EH92BZ,326836,3*GH,671583,6
15,Alba Hills Guest House [formerly Rimswell House Hotel],,33,Mayfield Gardens,to,35,EH92BX,326887,n/a,671596,9
16,International Guest House,,37,Mayfield Gardens,,,EH92BX,326892,n/a,671583,9
17,Lauderville Guest House,,52,Mayfield Road,,,EH92NH,326561,n/a,671539,10
18,Best Western Kings Manor Hotel,S. Solley Hotels Ltd.,100,Milton Road East,,,EH152NP,331671,4,672924,95
19,Thrums Hotel,,14,Minto Street,to,15,EH91RQ,326654,3* GH,672014,14
20,Edinburgh's Minto Hotel,,16,Minto Street,to,18,EH99RQ,326679,3,671978,23
21,Ellwyn Hotel,,37,Moira Terrace,to,39,EH76TD,329209,n/a,674305,12
22,Premier Inn Edinburgh Haymarket,Whitbread Bowland Inns,1,Morrison Link,,,EH38DN,324283,n/a,673199,282
23,The Avenue Hotel,,4,Murrayfield Avenue,,,EH126AX,322832,2,673300,6
24,Craigelachie Hotel,,21,Murrayfield Avenue,,,EH126AU,322662,4* GH,673356,8
25,Beverley Hotel,,40,Murrayfield Avenue,,,EH126AY,322741,4* GH,673424,8
26,Holyrood Aparthotel,Hotel Connections,1,Nether Bakehouse,,,EH88PE,326530,4* SA,673707,40
27,Premier Inn Edinburgh Newcraighall,Whitbread Group,91,Newcraighall Road,,,EH16,331720,n/a,671860,42
28,Hawes Inn,Innkeeper's Lodge,,Newhalls Road,,,EH309TA,313537,1,678289,14
29,Premier Inn Edinburgh Leith,Whitbread Group,51,Newhaven Place,-,53,EH64TX,325527,n/a,677483,84
30,Southside Guest House,,8,Newington Road,,,EH91QS,326410,4* GH,672385,8
31,Barcelo Edinburgh Carlton Hotel,Dawnay Shore Hotels,19,North Bridge,,,EH11SD,325935,5,673762,189
32,Scotsman Hotel,,20,North Bridge,,,EH11TR,325865,n/a,673760,68
33,Holiday Inn Express,Holiday Inn / Somerston Hotels (Edinburgh Waterfront),101,Ocean Drive,,,EH66LA,326510,3* HO,676834,145
34,Arden Guest House,,126,Old Dalkeith Road,,,EH16  4SD,328338,n/a,670482,8
35,Aaron Lodge,,128,Old Dalkeith Road,,,EH164SD,328338,n/a,670480,10
