Site,Location,Ashtray,Type,Direction,Easting,Northing
"Eastfield Road","at last bus stop before airport",Yes,Wybone,NB,315087.28,673114.38
"Gogar Station Road","After RBOS turn off",Yes,Wybone,WB,316818.31,672386.04
"Corbiehill Road","at bus stop 245830",Yes,"Derby Standard",NB,320935.5,675344.9
"Corbiehill Road","at bus stop 204060",Yes,"Derby Standard",SB,320969.71,675333.09
"Corbiehill Road","Opposite 67",Yes,"Derby Slimline",SB,320843.59,675431.85
"Corbiehill Road","Outside School","Not Applicable","Not Applicable",NB,320943.86,675338.27
"Cammo Road","At entrance to park",No,Barnsley,EB,317189.57,674803.55
"Whitehouse Road","At bus stop at top of footpath",No,"Half Edinburgh",SB,318473.31,675610.45
"Whitehouse Road","opposite Phamacy",Yes,"Derby Slimline",NB,318539.65,675057.62
"Barnton Park Drive","By lamppost BFR 2",Yes,"Half Edinburgh",SB,319376.36,675001.47
"Barnton Park Drive","On corner of Avenue",No,Topsy,NB,319392.85,675068.48
"Bridge Street","At Post Office",Yes,"Derby Slimline",WB,312232.71,672685.87
"Station Road","Outside Library",Yes,"Derby Standard",NB,312595.76,674467.06
"Station Road","Outside local housing office",Yes,"Derby Standard",EB,312616.53,674437.68
"A8000 - Kirkliston To South Queensferry","Opposite Ferrymuir retail park",No,Topsy,EB,312903.18,677623.96
"A8000 - Kirkliston To South Queensferry","On corner of retail park",No,Amberol,WB,312908.23,677562.73
"A8000 - Kirkliston To South Queensferry","At Burger King",No,Amberol,NB,312830.8,677595.04
"A8000 - Kirkliston To South Queensferry","At Burger King",Yes,Amberol,NB,312860.09,677529.74
"High Street","Opposite Niche gallery",No,Neopolitan,WB,312932.25,678379.76
"High Street","Outside boat house j.w",Yes,Brunel,EB,313003.24,678342.31
"High Street","o/s neilsons",Yes,Brunel,EB,313100.52,678305.41
"High Street","Opposite stags head hotel",No,Neopolitan,WB,312948.46,678369.7
"High Street","Outside Register Office",Yes,Brunel,EB,313133.5,678303.73
"High Street","opp neilsons",Yes,Neopolitan,WB,313101.63,678296.46
"Hawes Brae","Opposite Hawes Inn",Yes,Brunel,EB,313756.25,678388.14
"Hawes Brae","opp car park",Yes,Brunel,EB,313584.63,678348.45
"Hawes Brae","Opposite Rail Bridge Bistro",Yes,"Derby Round",EB,313458.29,678305.97
"Hawes Brae","opp no 22",Yes,"Derby Standard",EB,313508.6,678324.41
"Hawes Brae","Opposite Bridge House",Yes,"Derby Round",EB,313554.44,678336.71
"Hawes Brae","Opposite Hawes garage",Yes,Brunel,EB,313622.08,678357.39
"Bankhead Road","Bus stop at top of hill next to monument",Yes,Brunel,SB,314406.93,677455.99
"Chapel Gate Road","Outside No. 1",No,Amberol,WB,314516.91,677438.21
"Brae Park Road","At Almond Walkway",No,"Half Edinburgh",NB,318010.75,675489
"Chapel Gate Road","At Glebe Underpass",No,Neopolitan,SB,314382.7,677147.79
"Chapel Gate Road","By bench opposite No. 14",No,Amberol,EB,314332.02,677403.73
"Station Road","outside school",Yes,"Derby Standard",NB,313208.35,672341.38
"Station Road","Outside shop at 30",Yes,Neopolitan,NB,313187.61,672443.61
"Station Road","Opposite Scotmid",Yes,Neopolitan,NB,313176.83,672515.06
"Hillwood Road","In play park",No,Wybone,"Not Applicable",313400.46,672456.97
"Hillwood Rise","On footpath at seating area",No,"Derby Standard","Not Applicable",313366.17,672435.6
"Hillwood Rise","On footpath at seating area",No,"Derby Standard","Not Applicable",313360.39,672436.05
"A904 - U221 At Echline To Linn Mill Burn","In layby","Not Applicable","Derby Standard","Not Applicable",311143.73,677845.96
"Kirkstyle Gardens","Rear of Church in car park",No,"Half Edinburgh","Not Applicable",312510.4,674371.42
"A90 - Cramond Bridge To Forth Road Bridg","At bus stop after junction of riverside road",Yes,Wybone,NB,317527.01,675804.58
"A90 - Cramond Bridge To Forth Road Bridg","At bus stop",Yes,"Derby Slimline",NB,315309.77,677128.16
"A90 - Cramond Bridge To Forth Road Bridg","At bus stop after Kirkliston flyover",Yes,Wybone,EB,317131.22,676193.1
"Whitehouse Road","at bus stop 246150",Yes,"Derby Slimline",WB,318970.21,676576.94
"Whitehouse Road","At bus stop outside Golf Course",No,Topsy,SB,318508.91,675225.42
"Whitehouse Road","At bus stop at Cramond Regis",No,"Half Edinburgh",SB,318495.02,675861.49
"Whitehouse Road","At first bus stop opposite Bell",Yes,"Derby Slimline",NB,318550.08,675026.01
"Whitehouse Road","Outside 191 Barnton House",No,Neopolitan,SB,318561.59,675073.3
"Whitehouse Road","At bus stop at fair a far shot",Yes,"Derby Slimline",SB,318568.87,676163.01
"Glasgow Road","Against railings at number 130",Yes,"Derby Auto Slimline",EB,318404.01,672776.12
"Glasgow Road","Opposite number 126",Yes,"Derby Auto Slimline",WB,318406.34,672758.47
"Glasgow Road","Outside new flats",Yes,"Derby Auto Slimline",EB,318169.78,672755.18
"Glasgow Road","Opposite Stratstone Garage",Yes,"Derby Auto Slimline",EB,318524.32,672789.96
"Glasgow Road","Just before slip road at gogar heading east at the bus stop",Yes,Wybone,EB,317052.71,672499.71
"Glasgow Road","Next to package recycling bin, next to morrisons gyle",No,"Half Edinburgh",WB,317779.85,672636.61
"Glasgow Road","Before exit for Airport",Yes,Wybone,WB,315805.26,672332.39
"Glasgow Road","Before BOS",Yes,Wybone,WB,317059.26,672475.42
"Glasgow Road","Opposite new flats",Yes,"Derby Auto Slimline",WB,318179.27,672736.11
"Glasgow Road","Outside Corstorphine ices",Yes,"Derby Auto Slimline",EB,319205.21,672918.46
"Glasgow Road","Opposite number 29",Yes,"Derby Auto Slimline",EB,319130.8,672900.16
"Glasgow Road","Outside number 25",Yes,"Derby Auto Slimline",WB,319152.76,672885.52
"Glasgow Road","Opposite number 67",Yes,"Derby Auto Slimline",EB,318849.85,672837.63
"Glasgow Road","Outside number 81",Yes,"Derby Auto Slimline",WB,318742.98,672801.37
"Cramond Road South","Outside Bank",Yes,"Derby Standard",NB,320533.94,675467.8
"Cramond Road South","In tesco car park by recycling bank",Yes,"Derby Standard",EB,320546.09,675488.45
"Cramond Road South","at bus stop 203800",Yes,"Derby Standard",SB,320477.6,675546.85
"Cramond Road South","at bus stop 246120",Yes,"Derby Slimline",SB,319749.16,676316.22
"Stirling Road","at bus stop",Yes,Wybone,WB,311908.96,674616.59
"Stirling Road","At bus stop",Yes,Wybone,EB,311931.48,674624.86
"Glasgow Road","At foot of underpass from RathoStation",Yes,"Derby Standard Green",EB,313187.68,672643.32
"Glasgow Road","Last stop beforer roundabout",Yes,"Derby Slimline",WB,312785.54,672637.33
"Glasgow Road","Opposite garage",Yes,Wybone,EB,314840.39,672462.74
"Glasgow Road","Opposite Ratho Station",Yes,Wybone,EB,313226.58,672639.94
"Glasgow Road","Over airport underpass",Yes,Wybone,EB,315219.76,672393.03
"Glasgow Road","After Garage",Yes,Wybone,WB,314677.25,672465.88
"Glasgow Road","3rd bus stop after garage",Yes,Wybone,WB,313780.84,672556.7
"Glasgow Road","2nd stop after garage",Yes,Wybone,WB,314319.55,672518.99
"Glasgow Road","Outside 120",Yes,Wybone,WB,313282.43,672606.09
"Glasgow Road","opposite 2nd bus stop after garage",Yes,Wybone,EB,314315.95,672548.6
"Marine Drive","First Bin on Dual carriageay",Yes,"Derby Standard",EB,319986.49,676972.48
"Marine Drive","Last Bin on Dual carriageay",No,Brunel,EB,320321.84,676999.07
"Marine Drive","Fourth Bin on Dual carriageay",Yes,"Derby Standard",EB,320246.07,676979.56
"Marine Drive","Third Bin on Dual carriageay",Yes,"Derby Standard",EB,320190.17,676975.72
"Marine Drive","At bus stop o/s caravan park",Yes,"Derby Slimline",WB,321090.4,676801.36
"Marine Drive",,"Not Applicable","Not Applicable","Not Applicable",320669.44,676929.88
"Queensferry Road","Corner of comely bank Ave and learmonth terrace",Yes,Neopolitan,EB,324155.27,674316.82
"Queensferry Road","Opposite number 21",Yes,Wybone,EB,323121.99,674205.74
"Queensferry Road","Outside number 83",Yes,Wybone,WB,322745.47,674267.39
"Queensferry Road","Outside number 120",Yes,Wybone,EB,322461.9,674412.5
"Queensferry Road","Opposite No 7",Yes,Wybone,EB,323328.74,674207.64
"Queensferry Road","Outside number 94",Yes,Wybone,EB,322648.73,674329.03
"Queensferry Road","Outside number 204",Yes,Wybone,EB,322155.56,674490.27
"Queensferry Road","Outside number 04",No,"Derby Standard",WB,322127.1,674490.27
"Queensferry Road","Outside Barnton hotel",Yes,Wybone,EB,318624.66,674969.2
"Queensferry Road","at bus stop 246260",Yes,Barnsley,WB,320462.33,675129.09
"Queensferry Road",,Yes,"Derby Slimline Green",WB,320252.62,675198.21
"Queensferry Road",,Yes,"Derby Slimline Green",WB,320394.48,675196.4
"Queensferry Road","At bus stop outside 463",Yes,"Derby Slimline",WB,319528.67,674976.12
"Queensferry Road","Opposite Parkgrove Street",No,"Derby Slimline",EB,319556.59,674998.25
"Queensferry Road","At bus stop outside 495",Yes,"Derby Slimline",WB,319279.62,674927.7
"Queensferry Road","Opposite No 499",Yes,"Derby Slimline",EB,319259.14,674941.54
"Queensferry Road","At bus stop outside 616",Yes,"Derby Auto Slimline",EB,318106.31,675122.89
"Queensferry Road","At entrance",Yes,"Derby Standard Green",EB,322893.38,674236.97
"Queensferry Road","At entrance",Yes,"Derby Standard Green",WB,322838.14,674228.89
"Queensferry Road","Outside Dunedin House",Yes,Wybone,WB,323696.4,674218.03
"Queensferry Road","Outside 32 Buckingham Terrace",Yes,Wybone,WB,323969.44,674236.35
