Site,Location,Ashtray,Type,Direction,Easting,Northing
"Abercromby Place","In corner at entrance to gardens",Yes,"Derby Slimline",WB,325513.59,674373.91
"Albany Street","Outside No 6",Yes,"Derby Slimline",EB,325619.98,674419.37
"Gayfield Square","in park at Gayfield Square",Yes,Amberol,NB,326073.84,674662.78
"Gayfield Square","At seating area at gayfield Square",Yes,"Derby Double Slimline",NB,326134.48,674573.86
"Gayfield Square","In park at Gayfield Square",Yes,Brunel,SB,326116.65,674625.95
"George Street","Outside number 71 Nationwide",Yes,"Wheelie Bin",EB,325111.77,673984.54
"George Street","Outside number 111 RBS",Yes,"Wheelie Bin",EB,324924.34,673931.29
"George Street","Outside number 104 corner castle st",Yes,"Wheelie Bin",WB,324966.46,673920.05
"George Street","Outside number 74",Yes,"Wheelie Bin",WB,325116.91,673962.59
"George Street","Outside number 70",Yes,"Wheelie Bin",WB,325166.43,673976.05
"George Street","Outside number 69 outside fat face",Yes,"Wheelie Bin",EB,325165.38,674001.27
"George Street","At junction of Hanover Street",Yes,"Wheelie Bin",WB,325351.15,674026.34
"George Street","Outside Lakeland corner of Hanover st",Yes,"Wheelie Bin",WB,325372.07,674035.2
"George Street","Outside number 10",Yes,"Wheelie Bin",WB,325489.98,674065.78
"George Street","Outside star bucks",Yes,"Wheelie Bin",WB,324929.96,673908.81
"George Street","Outside number 29 All Bar One",Yes,"Wheelie Bin",EB,325360.41,674055.72
"George Street","Outside number 107 Lime Blue",Yes,"Wheelie Bin",EB,324959.91,673940.65
"George Street","Outside number 143  las guanas",Yes,"Wheelie Bin",EB,324779.71,673892.91
"Bread Street","Outside number 31 at Bus stop",Yes,Neopolitan,EB,324883.87,673193.97
"Grindlay Street","Outside spirit of Thai opposite Usher Hall",No,Neopolitan,EB,324830.07,673306.53
"Grindlay Street","Outside number 03",Yes,Neopolitan,EB,324960.69,673265.47
"West Maitland Street","Outside Boots pharmacy",Yes,"Derby Standard",WB,324183.24,673326.75
"West Maitland Street","Outside William Hills at 21",Yes,"Derby Standard",EB,324144.14,673299.02
