Site,Location,Ashtray,Type,Direction,Easting,Northing
"Biggar Road","At bus terminus",Yes,"Derby Slimline",EB,324827.07,667749.84
"Biggar Road","At bus stop Outside 26A",No,EB,NB,324800.94,667990.37
"Biggar Road","At bus stop opposite 26A",Yes,Neopolitan,WB,324815.79,668004.03
"Biggar Road","At bus stop opposite Swanston Drive",Yes,NB,NB,324836.56,667809.76
"Biggar Road","Outside bank",Yes,"Derby Slimline",WB,324774.83,668231.45
"Bonaly Avenue","At bus stop opposite 4",Yes,WB,EB,321371.29,668289.17
"Bonaly Avenue","Outside shop at 2",No,"Derby Slimline",SB,321358.41,668276.64
"Pentland Gardens",,Yes,NB,"Not Applicable",324033.86,669508.03
"Bonaly Road","Bonaly Primary School",No,"Derby Standard","Not Applicable",321351.39,668089.74
"Pentland Gardens",,Yes,WB,"Not Applicable",323995.29,669462.24
"Frogston Road West","Outside number 125",Yes,Wybone,SB,324924.04,668163.14
"Frogston Road West","Opposite 119",Yes,EB,SB,325034.34,668110.48
"Frogston Road West","Bus stop opposite Marie Curie Hospice",No,Topsy,NB,325706.37,667971.93
"Frogston Road West","Outside number 36",Yes,SB,NB,325203.91,668002.24
"Frogston Road West","Bus stop at Margaret Rose Avenue",Yes,"Derby Slimline Green",NB,325393.12,667958.51
"Frogston Road West","Bus stop at Margaret Rose Avenue",Yes,"Not Applicable",SB,325427.07,667972.31
"Frogston Road West","Bus stop at Marie Curie Hospice",No,"Derby Round",SB,325697.93,667984.89
"Woodhall Road","At Bus Shelter opposite 53",Yes,"Not Applicable",EB,321171.75,668614.43
"Woodhall Road","Campbell pk ent",Yes,"Derby Slimline Green",EB,320487.1,668581.69
"Woodhall Road","Outside number 06",Yes,"Not Applicable",EB,321551.64,668939.83
"Woodhall Road","opp no 95",Yes,"Derby Slimline","Not Applicable",320817.62,668506.71
"Woodhall Road","At Bus Shelter opposite Fennilaw Avenue",Yes,SB,EB,320995.84,668549.83
"Buckstone Terrace","Opposite number 118 at the bus stop",Yes,"Derby Slimline",WB,324768.56,668329.11
"Buckstone Terrace","Outside number 118 at the bus stop",Yes,SB,NB,324754.15,668318.14
"Buckstone Terrace","Opposite Tusitala grill at bus shelter",Yes,"Derby Slimline",NB,324620.54,668562.46
"Buckstone Terrace","Outside number 35",Yes,NB,WB,324546.42,668926.66
"Buckstone Terrace","Outside number 42 at bus stop",Yes,"Derby Slimline",NB,324547.82,668832.08
"Rustic Cottages","Oppisite rustic cottages",Yes,NB,EB,321738.1,669046.38
"Bonaly Road","Bonaly scout camp area",Yes,"Derby Slimline",EB,321206.21,667690.84
"Bridge Road","Outside  McKenzies rest",No,NB,EB,321562.49,668968.44
"Bridge Road","Outside Post Office",No,"Derby Slimline",WB,321524.01,668950.67
"Bridge Road","Outside Dantes",No,SB,EB,321482.57,668959.56
"Camus Avenue","At South entrance",Yes,"Derby Slimline",SB,324231.85,668755.93
"Colinton Mains Drive","Outside number68 at the bus stop",Yes,SB,EB,323008.02,669181.9
"Colinton Mains Drive","Outside number 219 at bus stop",Yes,"Derby Slimline",WB,322938.74,669232.77
"Colinton Mains Drive","Outside number 311",Yes,EB,SB,323259.63,669069.58
"Colinton Mains Drive","At bus stop opposite Tesco",Yes,"Derby Standard Green",NB,322713.34,669470.57
"Colinton Mains Drive","At bus stop outside Tesco",Yes,EB,EB,322708.04,669447.64
"Colinton Mains Drive","At bus stop opposite 05",Yes,Neopolitan,EB,322636.95,669638.64
"Firrhill Drive","iN PLAY AREA",No,EB,NB,323459.47,669445.46
"Firrhill Drive","At the bridge leading to the walkway",Yes,Neopolitan,NB,323624.37,669475.62
"Firrhill Drive","Opposite Greenlaw Hedge on walkway leading to the park",Yes,"Not Applicable",EB,323401.04,669473.48
"Firrhill Drive","Off firhill drive East entrance",Yes,"Derby Slimline",EB,323596.93,669384.61
"Firrhill Drive","At bridge over urn in Colinton mains public park",Yes,EB,SB,323405.69,669454.7
"Hailes Avenue","Opposite number 334",Yes,"Derby Slimline",WB,321148.69,669599.22
"New Swanston","Bus stop opposite Howe Park",Yes,WB,EB,323688.88,668242.52
