Site,Location,Ashtray,Type,Direction,Easting,Northing
Kirklands,"At Kirklands lamppost G2",Yes,Neopolitan,EB,319661.57,671908.46
"Ladywell Avenue","By sub station",Yes,"Derby Standard",NB,319762.54,672385.33
"Ladywell Avenue","On North South footpath",No,"Derby Standard Green",SB,319815.07,672552.34
"Ladywell Avenue","At entrance to St Margarets park",No,Barnsley,EB,319762.12,672443.31
"Ladywell Road","Outside 5",No,Neopolitan,WB,319623.6,672622.13
"Ladywell Road","Bus stop at 26",No,Neopolitan,EB,319479.3,672649.55
"Ladywell Road","Outside 2",Yes,"Derby Standard",EB,319624.33,672638.96
"Corstorphine Road","At bus stop for Ice Rink",Yes,Wybone,WB,322371.31,673163.5
"Manse Road","Outside Iceland",Yes,Topsy,NB,319842.18,672879.79
"Manse Road","Outside Chinese takeaway",No,"Half Edinburgh",NB,319900.6,672715.72
"West Coates","Outside number 03",Yes,Wybone,WB,323255.99,673187.03
"West Coates","Outside 2 Hampton Terrace",Yes,Wybone,WB,323402.31,673200.1
"West Coates","at bus stop at no 4",Yes,Wybone,EB,323338.95,673210.44
"Wester Coates Terrace","On junction of Wester Coates Terrace",Yes,Wybone,EB,323169.43,673198.09
"Baird Drive","Outside number 2",Yes,"Derby Slimline",SB,321966.28,672451.34
"Balgreen Avenue","Outside 51",No,"Half Edinburgh",WB,321368.62,672772.84
"Broomfield Crescent","On bus route opposite gov building",Yes,Topsy,EB,320327.17,671760.72
"Corstorphine Road","Outside number 129 Newsagent",Yes,"Derby Auto Slimline",WB,321943.1,673112.88
"Corstorphine Road","Bus stop opposite Pinkhill",Yes,"Derby Slimline",EB,321062.11,672888.51
"Corstorphine Road","First Busoad stop after Balgreen R",Yes,"Derby Auto Slimline",WB,321439.31,672971.6
"Corstorphine Road","Outside number 16",Yes,Wybone,EB,322447.09,673189.65
"Corstorphine Road","At pinkhill",Yes,"Derby Auto Slimline",WB,321062.28,672868.16
"Corstorphine Road","At walkway leading to hill",Yes,Barnsley,EB,321491.14,673008.95
"Corstorphine Road","Opposite chinese embassy",Yes,Wybone,EB,322375.9,673179.96
"Corstorphine Road","Next to bus stop along from 135",Yes,Wybone,WB,321903.24,673107.95
"Corstorphine Road","o/s no 102",Yes,Wybone,EB,321558.71,673043.91
"Corstorphine Road","Centre of North Pathway",No,"Half Edinburgh",EB,322509.95,673120.94
"Corstorphine Road","Outside Pavillion",No,"Derby Standard Green","Not Applicable",322594.76,673157.5
"Corstorphine Road","outside no 60",Yes,Wybone,EB,321926.11,673129.59
"Corstorphine Road","Outside Forrestry Commision",Yes,"Derby Slimline",WB,320713.09,672799.59
"Corstorphine Road","Bus stop before Pinkhill",Yes,"Derby Auto Slimline",WB,321119.2,672877.47
"Corstorphine Road","Outside number 92",Yes,Wybone,EB,321726.77,673092.73
"Corstorphine Road","At bus stop opposite number 04",Yes,Wybone,WB,322558.98,673193.06
"Corstorphine Road","Bus stop after Ornmadale Terrace",Yes,Wybone,EB,322625.72,673216.8
"Corstorphine Road","Opposite number 107",Yes,Wybone,EB,322022.71,673147.6
"Corstorphine Road","Outside Bianco chipshop",Yes,"Derby Double",WB,322013.88,673126.77
"Riversdale Crescent","Over footbridge on left",No,"Half Edinburgh",EB,322445.12,673100.33
"Riversdale Crescent","Over footbridge on right",No,"Half Edinburgh",EB,322421.39,673067.25
"Corstorphine High Street","Outside Church at benches","Not Applicable","Not Applicable",EB,320017.72,672727.65
"Kirk Loan","at Library",No,Topsy,WB,320074.49,672714.5
"Old Kirk Road","at side entrance to zoo",No,Neopolitan,SB,320564.86,673170.58
Pinkhill,"At lamppost TDB 06",No,"Half Edinburgh",EB,321005.92,672753.27
Pinkhill,"Entrance to Walkway",No,Topsy,EB,320839.53,672723.46
"Carrick Knowe Drive","Within play area in Union park",No,"Derby Standard Green",NB,320457.55,672166.57
"Carrick Knowe Parkway","Corner of Union park",Yes,"Derby Standard Green",SB,320332.52,672027.81
"Ravelston Dykes","Outside 66",Yes,Topsy,EB,322822.25,673864.5
"Riversdale Road","Over footbridge leading to river walk",Yes,"Derby Standard",WB,322217.29,672816.27
"Roseburn Cliff","Bus stop opposite eat n joy Chip Shop",Yes,Wybone,EB,322957.95,673217.86
"Roseburn Crescent","In play area",Yes,"Derby Slimline Green","Not Applicable",322656.45,672982.86
"Roseburn Crescent","Halfway up footpath towards Pavillion",No,"Half Edinburgh","Not Applicable",322632.2,673080.63
"Roseburn Place","Over Bridge at NE entrance",No,"Derby Standard Green",WB,322783.54,673165.87
"Roseburn Place","At entrance to Park",No,"Half Edinburgh",EB,322821.18,673127.05
"Roseburn Terrace","Outside 2",Yes,Wybone,EB,323020.18,673194.99
"Roseburn Terrace","Outside 24",Yes,Wybone,EB,322975.77,673210.94
"Roseburn Terrace","Outside eat n joy Chip Shop",Yes,"Derby Auto Slimline",WB,322939.54,673206.13
"Roseburn Terrace","On bridge over Water of Leith at Roseburn",Yes,"Derby Auto Slimline",EB,322914.99,673235.63
"Roseburn Terrace","On bridge over Water of Leith at Roseburn",Yes,"Derby Auto Slimline",WB,322894.76,673226.76
"Roseburn Terrace","Outside scotbet",Yes,Wybone,WB,323009.1,673183.43
"Saughton Road North","Outside William Hill",Yes,"Derby Standard",SB,320208.89,672210.82
"Saughton Road North","Outside 100h",No,Neopolitan,NB,320191.58,672177.2
"Saughton Road North","At entrance to Union park",No,"Half Edinburgh",EB,320236.41,672177.05
"Saughton Road North","Outside number 160",No,Barnsley,NB,320351.75,671965.97
