Site,Location,Ashtray,Type,Direction,Easting,Northing
"Laverockbank Road","In starbank park left of entrance",Yes,"Derby Standard Green",EB,325127.1,676864.71
"Laverockbank Road","By noticeboard",Yes,"Derby Standard Green","Not Applicable",325107.02,676974.01
"Summerside Place","Opposite 2",Yes,Neopolitan,WB,325866.94,676489.09
"Summerside Place","Outside Doctors Surgery",Yes,Neopolitan,NB,326058.65,676374.98
"Boswall Crescent","Opposite 27",Yes,Barnsley,EB,323901.07,676419.16
"Crewe Road North","Outside 160",No,Topsy,SB,322833.25,676209.34
"Cargil Terrace","At junction with Cargill terrace",Yes,Topsy,WB,324605.92,676386.72
"Clark Road","Opposite telephone exchange",Yes,"Derby Standard",NB,324790,676391.29
"Crewe Bank","Outside School",Yes,"Derby Slimline",EB,323044.71,676516.26
"Crewe Road North","At bus stop outside 254",Yes,Wybone,SB,322769.13,676664.96
"Crewe Road North","Outside Ferranti",Yes,"Wybone S/L",NB,322902.76,675849.16
"Crewe Road North","At Scotmid",Yes,Barnsley,SB,322803.79,676484.2
"Crewe Road North","At Scotmid",Yes,Barnsley,SB,322798.66,676511.03
"Crewe Road North","Bus stop 226",Yes,Barnsley,SB,322808.36,676433.38
"Crewe Road North","In OAPs seating area",Yes,Barnsley,SB,322768.85,676329.43
"West Granton Road","Opposite granton mains east junction",No,Topsy,EB,322477.92,676663.13
"Ferry Road","Outside 72",Yes,Wybone,EB,326318.61,676408.42
"Ferry Road","Outside BBs",Yes,Wybone,WB,325609.41,676219.99
"Ferry Road","After Car Wash",Yes,Wybone,EB,323701.66,675875
"Ferry Road","By notice Board",Yes,"Derby Standard Green","Not Applicable",325721.9,676263.05
"West Granton Road","Outside chip shop",Yes,Barnsley,WB,323210.14,676860.13
"West Granton Road","Opposite Sandys store",Yes,Neopolitan,EB,322364.93,676655.82
"West Granton Road","After loca shop sandys",Yes,Topsy,WB,322123.53,676634.77
"West Granton Road","Outside 253",Yes,Neopolitan,WB,322788.01,676716.12
"West Granton Road","Opposite pennywell cottages",Yes,Neopolitan,WB,321894.35,676519.9
"West Granton Road","At pennywell cottages",Yes,Wybone,EB,321886.48,676531.85
"West Granton Road","Outside 217",Yes,"Derbt Slimline",WB,323168,676851.47
"West Granton Road","Bus stop at 37",Yes,Neopolitan,WB,323391.39,677088.33
"West Pilton Gardens","Inside playpark",Yes,"Derby Standard Green","Not Applicable",322214.09,676004.15
"West Pilton Gardens","Opposite 15",Yes,Barnsley,SB,322175.42,676009.55
"Ferry Road","Outside North Edinburgh Shops next to bus stop",Yes,Wybone,WB,322277.86,675629.26
"Boswall Parkway","at bus stop",Yes,Barnsley,EB,323241.37,676534.2
"West Pilton Avenue","Opposite 13e",Yes,Barnsley,EB,322267.37,675878.3
"West Pilton Avenue","Opposite 13a at path",Yes,Barnsley,EB,322368.03,675881.07
"West Pilton Grove","Inside playpark",Yes,"Derby Standard Green",SB,322413.92,675993.53
"West Pilton Grove","On footpath near Social Work",Yes,Barnsley,EB,322487.72,676056.84
"West Shore Road",,Yes,"Derby Standard",WB,321929.65,677370.7
"West Shore Road",,Yes,"Derby Standard Green",SB,321947.83,677231.21
"West Shore Road","Ar entrance to prom",Yes,Brunel,NB,321953.79,677156.45
"Boswall Parkway","Opposite 72",Yes,Wybone,EB,323534.61,676545.75
"Boswall Parkway","Outside 72",Yes,Barnsley,WB,323533.31,676533.69
"Boswall Parkway","at bus stop by school",No,"Half Edinburgh",WB,323632.6,676543.11
"Boswall Parkway","at bus stop by no 144",Yes,Wybone,WB,323181.37,676518.33
"Boswall Parkway","At bus sop opposite 9",Yes,Wybone,SB,323945.26,676626.59
"Boswall Parkway","Outside 49",No,Neopolitan,EB,323797.98,676580.48
"Boswall Parkway","Outside Church",No,"Half Edinburgh",EB,323641.01,676556.02
"Boswall Parkway","At stop opposite 136",Yes,Barnsley,WB,322886.16,676487.34
"Boswall Parkway","At bakers",Yes,Barnsley,WB,322829.6,676457.46
"Boswall Parkway","At bus stop at scotmid",Yes,Barnsley,EB,322829.44,676482
"Zetland Place","Against railings at park",No,"Half Edinburgh",EB,324629.18,676548.37
"Ferry Road Sr Nos 703 - 775","Outside number 749",Yes,Wybone,WB,321731.53,675516.95
