Site,Location,Ashtray,Type,Direction,Easting,Northing
"Duncan Place",,Yes,Gemini,WB,327352.76,675927.24
"Duncan Place","Outside Leith Primary School",Yes,Brunel,NB,327188.61,675829.87
"Duncan Place","Between 2  benches",Yes,Gemini,"Not Applicable",327295.13,676012.55
"Fishmarket Square","At harbour inn",Yes,Brunel,EB,325542.31,677058.46
"Gladstone Place","Opposite 6",Yes,Gemini,EB,327734.5,675831.85
"Gladstone Place","On Leith Links at Links Gardens side",Yes,Gemini,EB,327721.6,675825.39
"Great Junction Street","Outsite number 169",Yes,Brunel,NB,326691.7,676197.88
"Great Junction Street","Outside Number 54 Wilkies Bar",Yes,"Derby Double Slimline",SB,326857.4,676026.51
"Great Junction Street","Outside De Bells swimming pool",Yes,Brunel,NB,326792.26,676079.76
"Great Junction Street","Outside number 137 the Card Shop",Yes,Brunel,NB,326753.74,676125.37
"Great Junction Street","Outside toilets at Taylor Gardens",Yes,Brunel,SB,326589.64,676338.58
"Great Junction Street","Outside tesco",Yes,"Derby Auto Slimline",EB,326716.53,676192.85
"Great Junction Street","In park at  Taylor Gardens",No,Routemaster,SB,326613.28,676332.2
"Great Junction Street","Outside Number 65.",Yes,Brunel,NB,326863.64,675995.36
"Great Junction Street","Within Park",No,"Half Edinburgh",SB,326625.61,676309.47
"Great Junction Street","At bus stop opposite empty Bingo Hall",Yes,Brunel,NB,326551.78,676371.23
"Great Junction Street","At bus stop outside old Bingo Hall",Yes,Brunel,SB,326565.37,676377.75
"Great Junction Street","Outside Number 09",Yes,Brunel,NB,326936.71,675908.68
"Great Junction Street","Opposite number 09 at First Choice",Yes,Brunel,SB,326943.51,675926.81
"Great Junction Street","Outside Number 39 The Tam O' Shanter",Yes,"Derby Slimline",NB,326893.67,675959.38
"Great Junction Street","Outside Number 50 Greggs",Yes,Brunel,SB,326876.66,676003.57
"Taylor Gardens","Within park",No,"Half Edinburgh",EB,326640.6,676343.73
"Henderson Street","Within Park",Yes,"Derby Standard Green",EB,326875.87,676158.54
"Henderson Street","At Bus stop",Yes,"Derby Double",SB,326900.49,676281.98
"John's Place",,Yes,Gemini,WB,327341.54,676162.67
"Lindsay Road","At bus stop near loch fyne restaurant",Yes,Neopolitan,EB,325584.15,677076.94
"Lindsay Road","Bus stop at Annfield",Yes,Neopolitan,WB,325741.25,677037.08
"Lindsay Road","Opposite new flats",Yes,Neopolitan,EB,326215.71,676876.67
"Links Gardens",,Yes,Gemini,EB,327522.61,676064.32
"Links Gardens",,Yes,Gemini,WB,327786.28,675963.26
"Links Gardens",,Yes,Gemini,WB,327947.81,675949.41
"Links Place",,Yes,Gemini,WB,327503.73,676074.52
