Site,Location,Ashtray,Type,Direction,Easting,Northing
"Gordon Street","Outside number 16",Yes,"Derby Slimline",EB,327019.95,675704.96
"Hawkhill Avenue",,Yes,"Derby Standard Green",WB,327566.56,674873.24
"Hawkhill Avenue","West end of park at junction",Yes,"Derby Standard Green",NB,327548.08,674768.15
"Stanwell Street","Within Pilrig park at north exit",Yes,Barnsley,NB,326509.07,675910.75
"Easter Road","Outside number 264",Yes,Amberol,SB,327032.52,675187.81
"Trafalgar Street","On corner of Trafalger Street",Yes,"Derby Slimline",WB,326094.2,676329.12
"Bellevue Place","Outside School on corner of Bellvue Place",Yes,"Derby Standard",SB,325708.23,674779.12
"Albert Place","Outside 23",Yes,"Derby Double Slimline",SB,326441.32,674942.03
"Albert Place","Outside 10",Yes,"Derby Double Slimline",SB,326407.78,674907.81
"Easter Road","Outside number 176 at Bus stop",Yes,"Derby Slimline",SB,326984.95,674857.94
"Easter Road","At bus stop opposite old school",Yes,Amberol,NB,326870.26,674381.68
"Easter Road","At bus stop outside Movie Express",Yes,"Derby Double Slimline",NB,326924.24,674527.99
"Easter Road","Opposite Montgomery Street",Yes,"Derby Double",SB,326945.07,674579.33
"Easter Road","Outside number 115",Yes,"Derby Double Slimline",NB,326961.88,674791.51
"Easter Road","Outside number 352",Yes,Neopolitan,SB,327065.68,675411.84
"Easter Road","Outside number 303",Yes,Neopolitan,SB,327058.36,675414.64
"Easter Road","Outside number 384 at bus stop",Yes,Neopolitan,SB,327163,675602.45
"Hopetoun Crescent","Within Park",Yes,"Derby Standard Green",EB,326255.56,674940.45
"Hopetoun Crescent","Within Park",Yes,"Derby Standard Green",EB,326159.89,674851.47
"Hopetoun Crescent","Within Park",Yes,"Derby Standard Green",EB,326197.24,674912.1
"Logie Green Road","St Marks Park at walkway to powderhall",Yes,Neopolitan,EB,325692.31,675600.37
"Logie Green Road","At South entrance",Yes,"Derby Standard Green",SB,325689.14,675622.45
"Broughton Road","At Play Park",No,Routemaster,EB,325597.43,675214.37
"Broughton Road","At path running beside Powderhall Depot",Yes,"Derby Standard",EB,325867.3,675446.2
"Springfield Street","In old play area",Yes,Barnsley,EB,326542.75,675772.76
"Elgin Street","In play park",Yes,Barnsley,EB,326686.83,674709
"Melgund Terrace","Outside number 1",Yes,Wybone,EB,325690.56,674957.87
"Mcdonald Road","Outside School",Yes,"Half Edinburgh",NB,325898,675403.71
"Warriston Walkway","Within Keddie Park",Yes,"Derby Slimline",SB,326395.81,676339.54
"Warriston Walkway","At start of Cyclepath next to Tesco",Yes,"Derby Slimline",EB,325409.96,675067.35
"Warriston Walkway","St Marks Park",Yes,"Half Edinburgh",EB,325625.88,675777.19
"Warriston Walkway","In kids play area",No,Brunel,SB,325567.5,675740.16
"Elm Row",,Yes,"Derby Double Slimline",SB,326164.48,674554.08
"Elm Row","Ellm Row",Yes,"Derby Double Slimline",NB,326181.96,674584.41
"Haddington Place","Opposite Montgommerry Street",Yes,Topsy,NB,326204.85,674668.82
"Haddington Place","Outside Haddington Place",No,Amberol,NB,326247.19,674729.67
"Croall Place","Outside Masonic Club",Yes,"Derbt Slimline",NB,326420.89,674951.62
