Site,Location,Ashtray,Type,Direction,Easting,Northing
"Liberton Gardens","Outside Liberton Newsagent",Yes,"Derby Slimline",NB,327374.35,669376.95
"Liberton Gardens","At bus stop before St Catherines Brae",No,"Derby Slimline",SB,327326.99,668826.35
"Liberton Gardens","Opposite  BP Garage at bus stop",No,"Derby Slimline",SB,327246.61,668655.88
"Liberton Gardens","Outside number 17",Yes,"Derby Slimline",SB,327392.5,669355.26
"Liberton Gardens","at B.O.S",Yes,Wybone,"Not Applicable",327367.51,669414.84
"Liberton Gardens","On pathway opposite water board",Yes,"Derby Slimline Green",SB,327335.96,668842.74
"Lockerby Cottages","Outside primary School",No,"Wybone S/l",EB,327851.9,668636.44
"Mannering Place","Lamppost MBJ 04",Yes,"Derby Slimline",SB,327801.43,669877.26
"Mannering Place","Outside number 28",Yes,"Derby Slimline",SB,327836.89,669809.99
"Moredun Park Road","Outside Key store",Yes,Topsy,EB,328880.16,669512.05
"Moredun Park Road","Outside Bakers",Yes,"Derby Double Slimline",EB,329207.58,669529.62
"Moredun Park Road","opposite shops",Yes,Topsy,WB,328861.15,669497.36
"Moredun Park Road","opposite school",Yes,"Derby Double Slimline",EB,329251.55,669496.7
"Moredun Park Road","Outside number 35",Yes,Neopolitan,EB,328849.01,669507.08
"Moredun Park Road","Outside Libary",Yes,"Half Edinburgh",EB,329174.12,669532.27
"Moredun Park View","Opposite 21",Yes,"Derby Round",NB,329061.89,669228.39
"Moredun Park View","Opposite Moredun Park Grove",Yes,"Derby Round",SB,329127.66,669169.6
"Mount Vernon Road","Outside school",Yes,Neopolitan,SB,327942.28,669855.39
"Captain's Road","Outside number 122",Yes,Wybone,EB,327589.66,668166.64
"Moredunvale Bank","entrance to football pitch",Yes,Wybone,EB,328839.41,669634.62
"Moredunvale Bank","entrance to football pitch",Yes,Wybone,EB,328811.31,669629.9
"Moredunvale Loan","On pathway to park",Yes,Barnsley,SB,328758.38,669782.81
"Mortonhall Gate","Bus stop at Mortonhall Gate",Yes,"Derby Slimline",EB,326580.11,668038.77
"Mortonhall Park Green","At lamppost MMX 05",No,"Half Edinburgh",NB,326967.32,668102.82
"Newtoft Street","Outside Supperbowl",Yes,Brunel,WB,329228.78,668659.84
"Newtoft Street","At bus stop Outside Miners Club",Yes,Wybone,EB,329148.85,668609.92
"Newtoft Street","Opposite 55",Yes,Wybone,EB,329075.41,668530.89
"Newtoft Street","Outside Gilmerton Library",Yes,Wybone,WB,329200.26,668641.49
"Park Crescent","On corner of Park Crescent",Yes,"Half Edinburgh",EB,327657.69,669441.88
"Southhouse Broadway","Outside Post office",Yes,"Wybone S/l",SB,327767.63,668162.9
"St Katharine's Brae","At Bridge over burn",Yes,"Derby Round",SB,327363.2,668657.47
"St Katharine's Brae",,Yes,"Derby Round",SB,327335.86,668738.16
Stanedykehead,"In Seven Acre Park",Yes,"Derby Round",WB,326596.2,668872.7
Stanedykehead,"In Seven Acre Park play area",No,"Derby Round",WB,326608.1,668883.48
"The Murrays Brae","Pathway opposite number 113",Yes,Barnsley,EB,328403.77,668034.46
"Wolrige Road","Opposite number 06",Yes,"Wybone S/l",EB,327415.17,669742.31
"Gilmerton Road","Outside number 479",Yes,Wybone,EB,328815.84,669173.02
"Gilmerton Road","Opposite number 487",Yes,Wybone,WB,328816.43,669149.86
"Gilmerton Road","Opposite number 433 at bus stop",Yes,Wybone,WB,328699.16,669288.76
"Gilmerton Road","Outside number 253",Yes,Wybone,EB,327893.14,670113.68
"Gilmerton Road","At first bus stop",Yes,Wybone,EB,327217.39,670730.74
"Gilmerton Road","Bus stop for East Clapperfield",Yes,Wybone,NB,327544.67,670396.22
"Gilmerton Road","Opposite 259 at bus stop",Yes,Wybone,WB,327865.68,670117.91
"Ivanhoe Crescent","Bus stop at 8 Ivanhoe Crescent",Yes,Wybone,WB,327752.58,670207.03
"Captain's Road","Bus Stop at Chemist, Civic Square",No,"Derby Standard",EB,327844.31,668272.86
"Captain's Road","Outside number 09",Yes,Wybone,WB,328169.55,668396.93
"Captain's Road","At Footpath of new School",No,Neopolitan,EB,328081.83,668370.95
"Captain's Road","Outside Local Housing Offices",No,Wybone,EB,327981.23,668351.36
"Captain's Road","Outside number 39",Yes,"Derby Slimline",WB,328037.43,668338.85
"Captain's Road","Outside number 109",Yes,Wybone,WB,327654.73,668171.65
"Liberton Road","First bus stop after Gilmerton Road",Yes,"Derby Slimline",SB,327172.69,670648.83
"Lady Road","Opposite 15",Yes,Wybone,WB,327338.28,671135.27
"Lady Road","Outside Travel lodge",Yes,Wybone,NB,327239.6,671071.42
"Lady Road","Bus stop opposite Savacentre",Yes,Wybone,EB,327402.68,671208.38
"Lady Road","Bus sto for Savacentre",No,"Wybone S/L",WB,327368.14,671162.89
"Liberton Road","First bus stop after Lady Road junction",Yes,"Derby Double Slimline",SB,327213.29,670953.72
"Liberton Road","Bus stop before traffic lights",Yes,"Derby Slimline",SB,327153.66,670436.46
"Liberton Road","Bus stop opposite Takeaway",Yes,"Derby Slimline",NB,327134.51,670380.98
"Liberton Road","Last bus stop before Lady Road Traffic lights",Yes,"Wybone S/l",NB,327181.76,670922.28
"Liberton Brae","Outside number 115",Yes,"Derby Slimline",SB,327174.32,669813.45
"Craigour Drive","Outside minimarket",No,Wybone,SB,328955.72,670047.6
"Craigour Drive","At lamppost CWH 23",No,Neopolitan,EB,329075.69,669936.91
"Inglewood Place","Lamppost IAM 03",No,Neopolitan,EB,327819.33,669946.19
"Kirk Brae","Outside 32",Yes,Wybone,NB,327294.53,670034.77
"Kirk Brae","Opposite 30",Yes,Wybone,SB,327304.74,670038.8
