Site,Location,Ashtray,Type,Direction,Easting,Northing
"Archibald Place","At side of Quartermile offices",Yes,"Derby Standard",SB,325517.03,673048.17
"Archibald Place","At rear of Quartermile offices",No,"Derby Standard",SB,325491.5,673027.8
"Archibald Place","At entrance to Quartermile",Yes,"Derby Standard",WB,325515.07,673072.71
"Gray's Loan","At Bus Shelter opposite 10",Yes,"Derby Auto Slimline",EB,323566.47,671509.7
"Gray's Loan","At Bus Shelter Outside 10",Yes,Wybone,WB,323561.37,671500.36
"Greenbank Crescent","Outside number 39",Yes,Neopolitan,SB,324072.11,670065.38
"Greenbank Crescent",,Yes,"Derby Round","Not Applicable",324137.08,669822.98
"Greenbank Crescent","Opposite number 106",Yes,Neopolitan,NB,323997.84,669639.57
"Greenbank Crescent","At entrance to Park",Yes,Neopolitan,WB,324272.3,670225.43
"Greenbank Crescent","Outside number 75",Yes,Neopolitan,SB,324041.77,669755.24
"Greenbank Crescent","Outside number 78",Yes,Neopolitan,NB,324029.92,669866.25
"Greenbank Crescent","opposite footbridge",Yes,"Derby Standard Green","Not Applicable",324162.43,670025.06
"Greenbank Crescent",,Yes,"Derby Slimline Green","Not Applicable",324113.45,669723.6
"Greenbank Crescent",,Yes,"Derby Double Slimline","Not Applicable",324079.41,669606.88
"Greenbank Crescent","At Fly Walk",Yes,"Derby Round",WB,324109.69,670146.37
"Whitehouse Loan",,Yes,"Derby Double Slimline",EB,324911.03,672305.27
"Whitehouse Loan","Opoosite Edinburgh Bike Shop",Yes,Neopolitan,SB,324915.7,672252.92
"Whitehouse Loan",,Yes,"Derby Double Slimline",EB,324947.44,672215.16
"Whitehouse Loan","Opoosite Edinburgh Bike Shop",Yes,"Half Edinburgh",EB,324913.5,672263.92
"Whitehouse Loan","Opposite number 90",Yes,Neopolitan,SB,325000.63,672121.56
"Barclay Terrace","Outsidde Church",Yes,"Half Edinburgh",NB,324933.86,672616.94
"Barclay Terrace",,Yes,Gemini,EB,324946.82,672553.99
"Balcarres Street","At Bus Shelter opposite number 5",Yes,"Derby Auto Slimline",EB,324383.49,670947.74
"Balcarres Street","at bus stop near no1",Yes,Wybone,WB,324437.91,670901.98
"Balcarres Street","At North entrance to Morningsie Park",Yes,"Derby Slimline Green",WB,324000.44,670842.62
"Home Street","Outside number 33",Yes,"Derby Auto Slimline",SB,324927.26,672857.81
"Lauriston Terrace","Outside Quartermile Offices",No,"Derby Slimline",WB,325471.38,673051.61
"Hermitage Drive",,Yes,"Derby Slimline Green","Not Applicable",325075.84,670309.44
"Hermitage Drive",,Yes,"Derby Standard Green","Not Applicable",325246.66,670333.84
"Hermitage Drive",,Yes,"Derby Slimline Green","Not Applicable",324905.03,670252.49
"Hermitage Drive","In car park",No,"Wheelie Bin",NB,325169.52,670432.32
"Hermitage Terrace","At Hermitage terrace",Yes,"Half Edinburgh",SB,324552.78,671048.54
"Home Street","Outside number 63",Yes,"Derby Auto Slimline",SB,324937.21,672788.95
"Home Street","Outside King's Theatre",Yes,"Derby Auto Slimline",SB,324938.02,672760.43
"Home Street","Outside number 32",Yes,"Derby Auto Slimline",EB,324909.24,672856.74
"Home Street","Outside number 13",Yes,"Derby Auto Slimline",SB,324926.72,672901.11
"Home Street","Outside number 18",Yes,"Derby Auto Slimline",NB,324905.74,672906.22
"Home Street","Outside number 43",Yes,"Derby Auto Slimline",SB,324931.56,672828.21
"Marchmont Road","Outside Scotmid at 128",Yes,Topsy,NB,325487.73,672010.1
"Lauderdale Street","Outside number 63",Yes,Topsy,NB,325190.62,672120.16
"Lauriston Gardens",,Yes,Neopolitan,EB,325195.17,672942.81
"Leven Terrace",,Yes,Gemini,SB,325102.48,672652.95
"Marchmont Crescent","Outside Scotmid",Yes,Barnsley,EB,325557.28,672300.34
"Marchmont Crescent","Outside Cafe Arista at 98",Yes,Topsy,SB,325496.27,672123.55
