Site,Location,Ashtray,Type,Direction,Easting,Northing
"Mansfield Road","In car park",No,"Derby Standard Green",NB,316695.97,663870.26
"Mansfield Road",,"Not Applicable","Half Edinburgh",NB,316297.99,666081.92
"Mansfield Road","At bus stop",Yes,Neopolitan,NB,316328.53,665989.93
"Riccarton Mains Road","Bus stop at 77",Yes,Neopolitan,NB,318177.49,668340.66
"Forth View Crescent","at footpath to Currie High School st side of number 70",Yes,"Wybone S/l",EB,317693.7,667966.92
"Forth View Crescent","Opposite number 32",Yes,"Derby Standard",WB,317754.06,667875.37
"Lanark Road West","Outside number 313",No,"Derby Slimline",WB,317785.38,667536.39
"Rowantree Avenue","opposite no 40",Yes,"Derby Slimline",WB,317170.75,667534.81
"Pentland View Court","At steps leading up to the shops",Yes,"Wybone S/l",NB,317976.57,667752.9
"Pentland View Court","At Fords the Baker",Yes,"Wybone S/l",EB,318005.46,667706.17
"Pentland View Court","At Recycling Bank",Yes,"Derby Standard",EB,318009.63,667697.85
Slaeside,"Oppoaite number 131",No,Barnsley,NB,319061.85,674182.04
Slaeside,"opp 131 end of lane",No,"Derby Standard",EB,318992.61,674168.76
"Harvesters Way","In play area",Yes,"Derby Slimline",EB,320143.68,669452.9
"Lanark Road West","George iv park beside playpark equipment",Yes,"Derby Standard Green",EB,317843.37,667611.29
"Lanark Road West","In Park opposite Shops",Yes,"Derby Standard Green",WB,317941.52,667627.02
"Lanark Road West","In park opposite shops",Yes,"Derby Standard Green",WB,317803.77,667540.87
"Lanark Road West","Outside number 196",Yes,"Derby Standard",EB,318235.8,667808.26
"Lanark Road West","Outside 401",No,"Derby Slimline",WB,317294.14,667295.86
"Lanark Road West","At bus shelter opposite No. 202",No,"Derby Slimline",WB,318193.06,667780.99
"Lanark Road West","Outside number 145",No,"Derby Slimline",WB,318790.3,668045.98
"Lanark Road West","At entrance to Car Park",Yes,Neopolitan,EB,317981.23,667673.94
"Lanark Road West","Outside number 436 at Bus Shelter",Yes,"Derby Slimline",EB,316947.81,667148.14
"Lanark Road West","At bus stop",Yes,"Derby Slimline",EB,317376.08,667341.38
"Lanark Road West","At bus stop outside 344",Yes,"Derby Slimline",EB,317571.77,667459.42
"Lanark Road West","At bus stop outside park",Yes,"Derby Slimline",NB,317871.19,667600.7
"Lanark Road West","Opposite Car Park at Shops",Yes,"Derby Slimline",WB,317987.1,667661.41
"Lanark Road West","On junction of Kirkgate",No,"Half Edinburgh",WB,318333.16,667804.54
"Lanark Road West","Opposite BOS before Kirkgate",Yes,"Derby Slimline",WB,318409.33,667837.02
"Lanark Road West","Outside Bank of Scotland opposite Kirkgate",Yes,"Derby Slimline",EB,318375.54,667835.03
"Lanark Road West","At bus stop outside No. 32",Yes,"Derby Slimline",EB,319131.43,668223.96
"Lanark Road West","At footpath opposite Garage",Yes,"Derby Slimline",EB,318920.52,668115.14
"Lanark Road West","At bus stop outside No. 104",Yes,"Derby Slimline",EB,318642.89,667949.23
"Lanark Road West","In play area ( outside playpark at gate - north gate entrance)?",No,"Derby Slimline",NB,317944.67,667679.75
"Lanark Road West","In play area",Yes,"Derby Standard Green",EB,317972.8,667676.05
"Lanark Road","Outside number 222",Yes,"Derby Slimline",EB,321425.91,670222.96
"Lanark Road","Outside number 421",No,"Derby Slimline",WB,320657.45,669091.66
"Lanark Road","Opposite kingsknowe park",Yes,"Derby Slimline",WB,321352.89,669969.18
"Lanark Road","Outside number 228",Yes,"Derby Slimline",NB,321349.31,670035.11
"Lanark Road","Opposite number 373",Yes,"Derby Slimline",EB,321064.31,669549.34
"Lanark Road","At Bus Shelter outside 59",Yes,"Derby Auto Slimline",SB,321967.75,670617
"Lanark Road","By third bench on left",Yes,"Derby Standard Green",NB,321671.56,670587.26
"Lanark Road","Opposite number 254",Yes,"Derby Standard Green",WB,321360.8,670015.86
