Site,Location,Ashtray,Type,Direction,Easting,Northing
"Portobello High Street","Bus Stop opp william hill",Yes,"Derby Standard",WB,330445.93,673936.04
"Portobello High Street","Bus Stop at subway",Yes,"Derby Standard",WB,330439.38,673943.16
"Portobello High Street","Bus Stop at 228",Yes,Wybone,EB,330661.08,673801.84
"Portobello High Street","Bus Stop opposite 226",Yes,Wybone,WB,330656.97,673791.04
"Portobello High Street","Bus Stop at st andrews chippy",Yes,"Derby Standard",EB,330802.47,673737.82
"Portobello High Street","Bus Stop at Social work .pheonix house",Yes,Neopolitan,WB,330802.47,673721.38
"Portobello High Street","At 138 opposite town hall",Yes,"Derby Standard",EB,330481.26,673924.31
"Portobello High Street","2nd bus stop after kings road roundabout",Yes,"Derby Standard",EB,330134.27,674289.37
"Portobello High Street","1st bus stop after kings road roundabout",Yes,"Derby Standard",EB,330078.16,674345.71
"Portobello High Street","last bus stop before kings road roundabout",Yes,"Derby Standard",WB,330054.29,674350.13
"Portobello High Street","Bus stop opp forresters",Yes,"Derby Standard",WB,330285.96,674108.3
"Portobello High Street","Ootside Mikes Tackle",Yes,"Derby Standard",EB,330320.03,674104.75
"Portobello High Street","Outside Police Station",Yes,"Derby Standard",EB,330440.81,673974.21
"Portobello High Street","At bank front door",Yes,"Derby Standard",WB,330483.77,673886.01
"Rosefield Avenue","Outside Portobello Library",Yes,"Derby Slimline",NB,330379.13,673927.42
"Rosefield Place","In park.near playpark",Yes,"Derby Standard Green","Not Applicable",330245.04,673801.36
"Rosefield Place","Entrance to park",Yes,"Derby Standard Green","Not Applicable",330280.04,673812.3
"Rosefield Place","Inside playpark",Yes,Routemaster,"Not Applicable",330261.87,673816.31
"Sandford Gardens","Brighton Park . N east",Yes,"Derby Standard Green",EB,330466.2,673692.89
"Sandford Gardens","Brighton Park centre north",Yes,"Derby Standard Green",EB,330447.89,673711.83
"Sandford Gardens","Brighton Park",Yes,"Derby Standard Green",EB,330430.21,673727.62
"Seaview Crescent","Next to grit bin on seaview crescent",Yes,Wybone,WB,332283.28,673337.33
"Southfield Place","Outside kebab house  at bus stop",Yes,Neopolitan,NB,330196.55,673539.65
"Stanley Street","o/s club house",No,"Half Edinburgh",EB,330471.89,673341.41
"West Brighton Crescent","Entrance to park",Yes,"Derby Standard Green","Not Applicable",330175.6,673767.36
"The Jewel","at first bus stop..before hossie rigg",Yes,Wybone,EB,330631.84,672332.51
"The Jewel","opposite entrance to Asda",Yes,"Derby Slimline",EB,331139.17,672434.23
"The Jewel","at bus stop by Parrotshot",Yes,Wybone,WB,330583.24,672302.49
"West Brighton Crescent","Inside park gate",Yes,"Derby Standard Green","Not Applicable",330208.99,673738.85
"West Brighton Crescent","In park near burn",Yes,"Derby Standard Green","Not Applicable",330186.54,673805.36
"Niddrie Mains Road","On left as you enter",Yes,"Derby Standard Green",SB,330287.57,671740.09
"South Morton Street","In Joppa Quarry Park. north",Yes,"Derby Standard Green","Not Applicable",331457.13,673146.01
"Hay Avenue","Outside post office",Yes,Wybone,SB,329973.75,671826.65
"Hay Avenue",,No,Barnsley,EB,329844.2,672052
"Hay Place","outside shops.bakers",Yes,Wybone,WB,330376.58,671924.08
"Niddrie Farm Grove","outside no 15",Yes,Wybone,SB,329256.07,671544.65
"Niddrie Farm Grove","By medical centre at Niddrie Farm Grove",No,Neopolitan,WB,329207.21,671642.77
"Niddrie Mains Road","bus stop before 20 sign",Yes,Wybone,EB,329577.65,671640.16
"Niddrie Mains Road","Bus Terminus at Hay drive",Yes,"Derby Standard",EB,330104.14,671806.56
"Niddrie Mains Road","Bus sop outside Jack Kane Centre opposite 281",Yes,Wybone,WB,330324.16,671765.29
"Niddrie Mains Road","Bus stop opposite Hay Avenue",Yes,Wybone,WB,329925.79,671755.37
"Niddrie Mains Road","Outside number 44 at bus stop",Yes,Wybone,WB,328944.01,671658.03
"Niddrie Mains Road","Outside 59",Yes,Wybone,EB,330436.44,671769.14
"Niddrie Mains Road","Outside School",Yes,Wybone,EB,330242.8,671787.54
"Niddrie Mains Road","Opposite medical centre",Yes,Wybone,EB,329208.66,671656.97
"Niddrie Mains Road","Bus stop opposite terminus",Yes,Wybone,WB,330121.23,671787.53
"Niddrie Mains Road","Bus stop at Niddrie Farm Grove flats",Yes,Wybone,WB,329266.92,671628.78
"Niddrie Mains Road","East office entranc",Yes,"Derby Slimline",EB,329139.62,671701.22
"Niddrie Mains Road","50 Meters before Hay Avenue",Yes,Wybone,EB,329887.86,671755.61
"Niddrie Mains Road","East office opp tesco",Yes,"Derby Slimline",EB,329099.66,671699.87
"Niddrie Mains Road","Outside number 28 Lyods TSB",Yes,Neopolitan,WB,328889.5,671648.15
"Niddrie Mains Road","First.bus stop",Yes,Wybone,EB,328856.89,671660.6
"Niddrie Mains Road","Outside number 02",Yes,Neopolitan,WB,328831.57,671639.57
"Niddrie Mains Road","Bus stop near opp 20 sign",Yes,Wybone,WB,329694.23,671670.66
Promenade,"Opp bollards at dalriada",Yes,Brunel,EB,331425.9,673609.95
"Cycle Track Through Bingham Park","On pathway leading to tunnel",Yes,"Derby Standard Green","Not Applicable",329862.51,672134.49
"Niddrie Marischal Gardens","At Jazz Shop",Yes,Wybone,EB,329663.57,671546.66
"North Peffer Place","In play area",Yes,Wybone,"Not Applicable",328863.25,671943.54
"Bingham Avenue","In play park at Community Centre",Yes,"Derby Standard Green","Not Applicable",329888,672479.29
"Bingham Avenue","At Shops on ave",Yes,Barnsley,SB,330132.02,672484.95
"Mountcastle Drive South","Outside medical centre",Yes,Topsy,WB,330347.96,672513.38
"Niddrie House Park","outside shop",Yes,Wybone,WB,329996.64,671373.4
"Niddrie House Park","outside day today shop",Yes,Wybone,WB,329982.49,671385.09
"Niddrie Mains Drive","Within Play Park",Yes,"Derby Slimline Green",EB,330027.25,671943.6
"Niddrie Mains Drive","Within Play Park west entrance",Yes,"Derby Slimline Green",EB,329982.58,671946.19
"Niddrie Mains Drive","Within Play Park",Yes,"Derby Slimline Green","Not Applicable",330000.54,671958.43
Promenade,"Between bellfield street and bollards",Yes,Brunel,EB,330936.06,673953.95
Promenade,"Outside playpark on prom",Yes,Brunel,EB,330827.1,674040.91
Promenade,"At new toilet",Yes,Brunel,EB,330807.57,674062.54
Promenade,"At end of sailing club",Yes,Brunel,EB,330806.81,674066.77
Promenade,"Ent to sailing club",Yes,Brunel,EB,330792.28,674079.36
Promenade,"Nxt recycling",Yes,Brunel,EB,330277.89,674464.65
Promenade,"Near bollards",Yes,Brunel,EB,330262.86,674480.09
Promenade,"After slipway",Yes,Brunel,EB,330245.32,674497.64
Promenade,"Next toilets",Yes,"Derby Standard",EB,330580.29,674236.96
"Cycle Track At Milton Link","Beside tunnel on walkway",Yes,"Derby Standard Green","Not Applicable",331206.66,672513.96
Promenade,"Opp Dalriada gate",Yes,Brunel,EB,331409.65,673623.43
Promenade,"First opp dalriada",Yes,Brunel,EB,331390.63,673635.71
Promenade,"Next benches on prom",Yes,Brunel,EB,331360.91,673657.52
Promenade,"Bottom brunstane rd n .on prom",Yes,Brunel,EB,331325.63,673682.48
Promenade,"Bottom james st on prom",Yes,Brunel,EB,331243.96,673742.49
Promenade,"At steps to beach on prom",Yes,Brunel,EB,331213.05,673778.83
