Site,Location,Ashtray,Type,Direction,Easting,Northing
"Murrayburn Gate","Outside Library",Yes,Wybone,EB,319756.41,669964.48
"Murrayburn Gate","westside plaza",Yes,"Derby Standard",WB,319746.25,669986.07
"Murrayburn Gate","Outside pub",Yes,"Wybone S/L",WB,319723.48,669935.15
"Murrayburn Place","Outside number 24",Yes,"Derby Slimline",EB,319895.32,670079.12
"Gorgie Road","Outside House of Spice / under the bridge",Yes,"Wybone S/l",SB,323324.02,672433.82
"Gorgie Road","Outside number 505",Yes,"Derby Slimline",SB,321933.72,671650.23
"Gorgie Road","Next to sports bar at Chesser House Car Park",Yes,"Wybone S/l",EB,321901.67,671652.67
"Gorgie Road","Opposite number 368",Yes,"Wybone S/l",SB,322641.09,672179.45
"Hailesland Grove","In play area",No,"Derby Standard",SB,320282.06,670201.81
"Hailesland Road","Lamppost HAP 29 Outside 27  Hailsland Gardens",Yes,"Derby Standard",EB,320059.02,670132.58
"Hailesland Road","At bus stop recess before Murryburn Road",Yes,"Derby Auto Slimline",NB,320330.02,670403.51
"Hailesland Road","Lamppost Hap 8",Yes,"Derby Slimline",SB,320383.31,670319.49
"Hailesland Road","Canal walkway",Yes,"Derby Slimline",EB,320228.67,670092.05
"West Approach Road","Outside Play area in darly community park",No,Routemaster,WB,323803.57,672668.62
"Hailesland Road","At bus stop by Canal footbride",Yes,"Derby Auto Slimline",WB,320249.32,670101.8
"Hailesland Road","At bus stop opposite Canal footbridge",Yes,"Derby Auto Slimline",EB,320304.11,670114.09
"West Approach Road","At bus stop opposite fountain park complex",Yes,"Derby Auto Slimline",SB,323954.38,672718.12
"West Approach Road","Next to the playpark in darly community park",No,Barnsley,NB,323778.38,672645.32
"West Approach Road","At lamppost Wdt 16 in layby",Yes,"Derby Auto Slimline",SB,323129.96,672700.57
"Alexander Drive","At entrance to play park",No,Barnsley,EB,322545.71,672209.2
"Wester Hailes Road","At Bus Stop opposite 21 Harvester's Way",Yes,"Derby Auto Slimline",SB,320036.99,669435.53
"Westfield Road","Outside Carnies at the bus stop",Yes,Wybone,SB,322619.74,672549.42
"Westfield Road","o/s Wolfson",Yes,"Wybone S/L",EB,322569.22,672482.88
"Wheatfield Road","Outside Distillery at the bus stop",Yes,Wybone,NB,322586.96,672478.89
"Whitson Road","On corner of Balgreen at shops",Yes,"Wybone S/L",EB,322079.64,672283.67
"Dumbryden Road","At SW entrance",Yes,"Derby Standard Green",SB,320675.24,670397.85
"Dumbryden Road","In play area",Yes,"Derby Standard Green",SB,320692.08,670325.96
"Henderson Terrace","Outside bank",Yes,Topsy,WB,323610.99,672451
"Henderson Terrace","Opposite number 9 at bus stop",Yes,"Derby Auto Slimline",EB,323554.84,672470.87
"Inglis Green Road","Opposite B&Q at bus stop",Yes,Wybone,WB,321883.57,670773.45
Kilncroftside,"On left at pavillion",Yes,"Derby Standard Green",NB,321735.09,670661.42
Kilncroftside,"At entrancet to Redhall pk",Yes,"Derby Standard Green",NB,321788.54,670789.41
"Wester Hailes Road","At bus stop opposite Odeon",Yes,"Derby Auto Slimline",NB,319652.15,669790.37
"Wester Hailes Road","at Odeon Cinema",Yes,"Derby Double Slimline","Not Applicable",319732.51,669846.23
"Wester Hailes Road","outside office door",Yes,"Derby Slimline",SB,319685.28,669941.78
"Wester Hailes Road","At Bus stop outside Odeon",Yes,"Derby Auto Slimline",SB,319683.21,669797.17
"Wester Hailes Road","Opposite number 3 at Bus Shelter",Yes,"Derby Auto Slimline",SB,320552.14,669131.16
"Wester Hailes Road","At bus stopm after Viewforth Road",Yes,"Derby Slimline",NB,320518.68,669167.17
