Site,Location,Ashtray,Type,Direction,Easting,Northing
"Beaufort Road","Outside number 06",Yes,Topsy,NB,325545.24,671966.78
"Beaufort Road","Outside Church",Yes,Neopolitan,EB,325742.37,672021.31
"Bernard Terrace","Outside Nelson Hall at Spittlefield Crescent",Yes,"Wybone S/l",NB,326483.67,672693.85
"Blacket Avenue","Outside 13 at Bench",Yes,Wybone,SB,326626.29,672034.88
"Blackford Avenue","Outside power station",Yes,"Wybone S/l",EB,325956.66,671059.53
"Blackford Avenue","At lamppost BMG 06 side entrance to Dunard Gardens",Yes,Neopolitan,NB,325774.36,671438.45
"Blackford Avenue","Outside Avenue store",Yes,Wybone,WB,325890.64,671129.77
"Nicolson Street","Outside Tesco",Yes,Wybone,WB,326159.2,673002.19
"George Square","Outside number 07",No,"Derby Standard",EB,325817.33,672998.16
"Nicolson Street","Outside number 54",Yes,Neopolitan,SB,326130.49,673119.8
"Nicolson Street","Outside McColls",Yes,Neopolitan,SB,326117.22,673142.02
"Nicolson Street","Outside number 57, newsagent",Yes,Neopolitan,NB,326097.15,673147.27
"Nicolson Street","Seating area at Surgeons Hall",No,Topsy,SB,326067.39,673245.15
"Nicolson Street","At entrance to Park",Yes,"Derby Standard",NB,326070.54,673194.42
"Mayfield Road","Outside number 57",Yes,"Derby Slimline",SB,326609.89,671465.92
"Clerk Street","Bus stop at 61",Yes,Wybone,NB,326271.22,672718.09
"Clerk Street","Outside number 61",Yes,Wybone,NB,326284.54,672693.6
"Clerk Street","Outside number 22",Yes,Wybone,SB,326236.43,672814.15
"Hill Place","Outside RBS on corner of Hill Place",Yes,"Wybone S/L",SB,326088.66,673200.13
"Holyrood Park Road","Outside Commie Pool",Yes,"Derby Round",SB,326758.66,672400.92
"Holyrood Park Road","At entrance to park",No,Wybone,EB,326892.83,672668.4
"Kilgraston Road","At bus stop before Whitehouse Terrace",Yes,Neopolitan,NB,325601.95,671462.87
"Kilgraston Road","On corner of Whitehouse Terrace",Yes,Neopolitan,NB,325597.6,671533.92
"Kilgraston Road","Opposite Esdsale Bank",Yes,Neopolitan,NB,325570.97,671655.36
"Lussielaw Road","On grass area at 17",Yes,Topsy,SB,326494.28,670938.14
"Mayfield Gardens","Outside number 4c",Yes,Wybone,NB,326746.32,671780.3
"Mayfield Gardens","Outside number 21",Yes,Wybone,SB,326833.62,671652.63
"Mayfield Road","At bus stop Outside number 115",Yes,"Derby Slimline",SB,326734.89,671085.32
"Mayfield Road","Outside number 28",Yes,"Derby Slimline",NB,326529.18,671687.37
"Mayfield Road","Outside number 159a",Yes,Neopolitan,SB,326832.46,670806.93
"Mayfield Road","Bus stop opposite number 51",Yes,"Derby Slimline",NB,326600.49,671446.24
"Mayfield Road","Opposite number 71",Yes,"Derby Standard Green",NB,326626.06,671385.7
"Mayfield Road","At bus stop outside 178",Yes,"Derby Slimline",NB,326804.54,670841.98
"Mayfield Road","Outside number 89",Yes,"Derby Slimline",SB,326668.59,671320.53
"Melville Terrace","South of Meadows",Yes,Topsy,WB,326076.41,672490.71
"Mayfield Road","Seating area opposite number 71",Yes,Barnsley,NB,326609.13,671380.83
"Melville Terrace","Junction of Moncrief Terrace",No,Neopolitan,WB,326029.27,672479.96
"Melville Terrace","At start of Meadows",No,Neopolitan,WB,326194.17,672512.3
"Melville Terrace","Outside Chip Shop",Yes,Neopolitan,NB,326214.25,672490.78
"Minto Street","Outside number 03",Yes,Wybone,SB,326544.24,672180.7
"Minto Street","Outside number 31",Yes,Wybone,NB,326716.27,671835.93
"Minto Street","Outside number 34",Yes,Wybone,NB,326706.18,671853.29
"Minto Street","Outside number 39",Yes,Wybone,NB,326592.59,672057.24
"Newington Road","Outside Goodwill Take away",Yes,Wybone,NB,326413.98,672394.87
"Newington Road","Outside 13",Yes,Wybone,SB,326443.32,672381.6
"Newington Road","Outside 55",Yes,Wybone,NB,326468.71,672287.11
"Newington Road","Outside 67",Yes,Wybone,SB,326486.04,672289.6
"Observatory Road","At Western Buildings",No,"Not Applicable",WB,325532.14,670575.42
"Observatory Road","In lower car park by footpath",No,"Derby Standard Green",SB,325929.34,670540.84
"Observatory Road","In Observatory lower car park",Yes,Neopolitan,NB,325910.32,670547.8
"Observatory Road","In Observatory top car park",Yes,"Derby Standard Green",NB,325930.21,670575.87
"Observatory Road","At entrance to footpath on Right at top of hill",Yes,"Derby Standard Green",EB,325949.22,670738.99
"Parkside Terrace","On corner of Parkside Terrace",Yes,"Half Edinburgh",SB,326657.24,672526.03
"Peffermill Road","Stop before Craigmillar Castle Gardens",Yes,Wybone,WB,328571.2,671580.56
"Nicolson Square","Within park at North Gate",Yes,"Derby Slimline",EB,326037.82,673189.65
"Nicolson Square","Within Park at benches",Yes,"Derby Standard Green",EB,326053.47,673180.1
"Observatory Green","At junction of Observatory Green",Yes,Topsy,SB,326149.25,670796.02
"Oswald Road",,Yes,Topsy,WB,325739.32,671401.53
"Oswald Road","on corner of Oswald Road",No,Topsy,SB,325525.52,671256.56
"Peffermill Road","Opposite 194 at bus stop",Yes,Wybone,EB,328727.47,671633.56
"Peffermill Road","At Honda Garage",Yes,Wybone,WB,327907.55,671573.11
"Peffermill Road","Outside number 47",Yes,Wybone,EB,327858.81,671549.65
"Peffermill Road","Outside number 7",Yes,Wybone,EB,327673.16,671387.38
"Peffermill Road","Opposite number 5",Yes,Wybone,WB,327676.9,671374.56
"Peffermill Road","Opposite industrial Estate",Yes,Wybone,WB,328261.94,671590.71
"Peffermill Road","Outside 194",Yes,Wybone,WB,328736.77,671619.56
"Peffermill Road","Bus stop before dryborough cres",Yes,Wybone,EB,328577.78,671595.53
"Peffermill Road","Opposite biscuit factory",Yes,Wybone,EB,328165.42,671647.53
"Peffermill Road","Opposite Park View Home",Yes,Wybone,EB,327964.59,671639.28
Pleasance,,Yes,Topsy,NB,326317.2,673140.68
Pleasance,"Bus stop before East Adam Street",Yes,"Half Edinburgh",NB,326267.73,673323.15
"Prestonfield Avenue","In Prestonfield Park",No,"Derby Round",SB,327719.38,671651.91
"Prestonfield Avenue","Outside 63 Neighbourhood Centre","Not Applicable",Wybone,"Not Applicable",327683.84,671745.12
"Prestonfield Avenue","Outside 36",Yes,Wybone,"Not Applicable",327808.44,671670.77
"Prestonfield Avenue","Outside number 5",Yes,Wybone,EB,327335.01,671776.75
"Prestonfield Avenue","In Prestonfield Park",No,"Derby Round",SB,327735.82,671703.69
