dz_label,overall_rank,income_deprivation_rank,employment_deprivation_rank,health_deprivation_rank,education_deprivation_rank,access_deprivation_rank,housing_deprivation_rank,crime_deprivation_rank
Data Zone S01000001,4726,4102,4518,3490,4795,3420,3929,4839
Data Zone S01000002,6214,6489,6106,5554,5360,2151,5880,6487
Data Zone S01000003,6238,6284,6340,5267,5211,3036,4784,5066
Data Zone S01000004,6068,6494,6403,5942,5255,1462,5755,5133
Data Zone S01000005,5883,5308,5918,4812,5558,3431,5149,4331
Data Zone S01000006,4812,4018,4030,4280,4239,5577,3924,4886
Data Zone S01000007,6171,5564,5706,4400,6006,5160,6261,5355
Data Zone S01000008,4548,4227,3978,3779,4135,3950,3280,4409
Data Zone S01000009,5159,4496,5192,4859,4459,2725,4013,5425
Data Zone S01000010,6092,5774,5750,5907,4898,3855,4916,4625
Data Zone S01000011,6002,6476,6494,3808,6384,1623,6142,5968
Data Zone S01000012,5491,5934,6255,4421,5196,1201,5802,4022
Data Zone S01000013,4702,4303,5046,3743,5006,1679,3715,4719
Data Zone S01000014,5274,5982,5522,3921,3835,1987,4224,5663
Data Zone S01000015,6210,6401,6231,4636,4734,4155,3330,5677
Data Zone S01000016,6162,6468,6495,6487,6065,1207,5267,4887
Data Zone S01000017,4808,4715,4930,2881,4249,3721,4641,3647
Data Zone S01000018,4908,5979,4261,3724,2686,4031,3744,5345
Data Zone S01000019,5918,5908,6270,4499,6383,1524,6401,6138
Data Zone S01000020,4026,3520,3141,4684,5500,1662,5052,5634
Data Zone S01000021,3982,4414,3897,2818,3042,2609,3788,4369
Data Zone S01000022,6167,6458,6449,6439,6483,961,6475,5985
Data Zone S01000023,6000,6406,6469,6335,6447,723,6367,5877
Data Zone S01000024,5602,5886,6488,5542,6308,530,5031,6196
Data Zone S01000025,6010,6148,6195,6355,6454,964,6476,6000
Data Zone S01000026,1260,1774,1248,579,1003,3570,2081,2537
Data Zone S01000027,5980,6068,5539,6232,6248,1549,6029,5644
Data Zone S01000028,2052,2558,2224,984,1420,4282,2105,3521
Data Zone S01000029,6042,6464,6499,6502,6496,678,6138,6466
Data Zone S01000030,2448,2296,2327,2669,2655,3652,1268,1972
Data Zone S01000031,6174,6069,6245,5135,6292,2027,6086,6103
Data Zone S01000032,2591,2883,3089,1360,2020,3662,2552,2510
Data Zone S01000033,1519,1611,1860,665,1680,5517,1643,1002
Data Zone S01000034,6224,6421,6496,6298,6030,1353,6343,5504
Data Zone S01000035,2969,3717,3691,2905,1156,3316,2972,1233
Data Zone S01000036,1585,2245,2211,1217,552,2172,2670,1986
Data Zone S01000037,2382,3059,2934,2035,2112,2958,2047,279
Data Zone S01000038,3264,3554,3414,2465,2461,3931,2361,2131
Data Zone S01000039,2536,3315,3155,1678,2103,1154,1708,3429
Data Zone S01000040,2909,3490,2849,1758,2086,5930,2045,1688
Data Zone S01000041,3925,3834,3627,2592,3588,3883,5624,3712
Data Zone S01000042,2431,3436,2465,1234,1360,5270,3161,2612
Data Zone S01000043,3619,3098,4628,1958,3750,5143,2651,1379
Data Zone S01000044,1350,1407,2031,486,1284,4401,1582,1281
Data Zone S01000045,6084,6347,6436,5471,6115,1343,5936,5518
Data Zone S01000046,6159,6402,6454,5492,6436,1420,6414,5019
Data Zone S01000047,3501,3430,3768,2808,2667,4177,1152,3054
Data Zone S01000048,6233,6455,6404,5679,6317,1754,5608,4691
Data Zone S01000049,6066,5849,6408,4056,6293,2406,6105,6487
Data Zone S01000050,5744,5342,5633,3935,5933,3863,5723,3905
Data Zone S01000051,6245,6375,6369,5634,6253,1750,6210,5469
Data Zone S01000052,700,686,1272,217,687,3404,1457,1429
Data Zone S01000053,4991,4476,5902,2250,5286,3794,4248,4011
Data Zone S01000054,6071,5962,6479,3472,6297,2984,6122,5864
Data Zone S01000055,1103,1047,1396,644,1058,5342,1794,742
Data Zone S01000056,5629,6247,5987,5563,6260,772,5969,4058
Data Zone S01000057,784,803,1197,1223,325,4392,1079,240
