label,dep_count,total_count,prop,council
Eilean Siar,29,45,0.644444444444444444444444,http://statistics.data.gov.uk/id/statistical-geography/S12000013
Shetland Islands,19,37,0.513513513513513513513513,http://statistics.data.gov.uk/id/statistical-geography/S12000027
Orkney Islands,15,33,0.454545454545454545454545,http://statistics.data.gov.uk/id/statistical-geography/S12000023
Highland,102,346,0.294797687861271676300578,http://statistics.data.gov.uk/id/statistical-geography/S12000017
Aberdeenshire,103,358,0.287709497206703910614525,http://statistics.data.gov.uk/id/statistical-geography/S12000034
Dumfries & Galloway,62,228,0.271929824561403508771929,http://statistics.data.gov.uk/id/statistical-geography/S12000006
Argyll & Bute,38,144,0.263888888888888888888888,http://statistics.data.gov.uk/id/statistical-geography/S12000035
Scottish Borders,34,159,0.213836477987421383647798,http://statistics.data.gov.uk/id/statistical-geography/S12000026
Moray,26,140,0.185714285714285714285714,http://statistics.data.gov.uk/id/statistical-geography/S12000020
Perth & Kinross,38,209,0.181818181818181818181818,http://statistics.data.gov.uk/id/statistical-geography/S12000024
Angus,29,167,0.173652694610778443113772,http://statistics.data.gov.uk/id/statistical-geography/S12000041
Stirling,17,131,0.129770992366412213740458,http://statistics.data.gov.uk/id/statistical-geography/S12000030
South Ayrshire,15,171,0.087719298245614035087719,http://statistics.data.gov.uk/id/statistical-geography/S12000028
East Lothian,12,142,0.084507042253521126760563,http://statistics.data.gov.uk/id/statistical-geography/S12000010
East Ayrshire,14,184,0.076086956521739130434782,http://statistics.data.gov.uk/id/statistical-geography/S12000008
Midlothian,7,132,0.05303030303030303030303,http://statistics.data.gov.uk/id/statistical-geography/S12000019
South Lanarkshire,24,480,0.05,http://statistics.data.gov.uk/id/statistical-geography/S12000029
North Ayrshire,10,217,0.046082949308755760368663,http://statistics.data.gov.uk/id/statistical-geography/S12000021
Fife,25,556,0.044964028776978417266187,http://statistics.data.gov.uk/id/statistical-geography/S12000015
Inverclyde,5,127,0.03937007874015748031496,http://statistics.data.gov.uk/id/statistical-geography/S12000018
Falkirk,8,238,0.033613445378151260504201,http://statistics.data.gov.uk/id/statistical-geography/S12000014
North Lanarkshire,7,491,0.014256619144602851323828,http://statistics.data.gov.uk/id/statistical-geography/S12000044
Clackmannanshire,1,76,0.013157894736842105263157,http://statistics.data.gov.uk/id/statistical-geography/S12000005
Renfrewshire,3,252,0.011904761904761904761904,http://statistics.data.gov.uk/id/statistical-geography/S12000038
West Lothian,2,245,0.008163265306122448979591,http://statistics.data.gov.uk/id/statistical-geography/S12000040
West Dunbartonshire,1,136,0.007352941176470588235294,http://statistics.data.gov.uk/id/statistical-geography/S12000039
East Renfrewshire,1,140,0.007142857142857142857142,http://statistics.data.gov.uk/id/statistical-geography/S12000011
East Dunbartonshire,1,155,0.006451612903225806451612,http://statistics.data.gov.uk/id/statistical-geography/S12000045
Aberdeen City,2,314,0.006369426751592356687898,http://statistics.data.gov.uk/id/statistical-geography/S12000033
City of Edinburgh,0,650,0.0,http://statistics.data.gov.uk/id/statistical-geography/S12000036
Dundee City,0,210,0.0,http://statistics.data.gov.uk/id/statistical-geography/S12000042
Glasgow City,0,827,0.0,http://statistics.data.gov.uk/id/statistical-geography/S12000046
