label,dep_count,total_count,prop,council
Glasgow City,132,827,0.159613059250302297460701,http://statistics.data.gov.uk/id/statistical-geography/S12000046
Dundee City,31,210,0.147619047619047619047619,http://statistics.data.gov.uk/id/statistical-geography/S12000042
West Dunbartonshire,20,136,0.147058823529411764705882,http://statistics.data.gov.uk/id/statistical-geography/S12000039
North Ayrshire,27,217,0.124423963133640552995391,http://statistics.data.gov.uk/id/statistical-geography/S12000021
Renfrewshire,30,252,0.119047619047619047619047,http://statistics.data.gov.uk/id/statistical-geography/S12000038
Inverclyde,15,127,0.118110236220472440944881,http://statistics.data.gov.uk/id/statistical-geography/S12000018
Aberdeen City,37,314,0.117834394904458598726114,http://statistics.data.gov.uk/id/statistical-geography/S12000033
East Ayrshire,17,184,0.092391304347826086956521,http://statistics.data.gov.uk/id/statistical-geography/S12000008
Argyll & Bute,13,144,0.090277777777777777777777,http://statistics.data.gov.uk/id/statistical-geography/S12000035
North Lanarkshire,44,491,0.089613034623217922606924,http://statistics.data.gov.uk/id/statistical-geography/S12000044
South Ayrshire,15,171,0.087719298245614035087719,http://statistics.data.gov.uk/id/statistical-geography/S12000028
City of Edinburgh,55,650,0.084615384615384615384615,http://statistics.data.gov.uk/id/statistical-geography/S12000036
Stirling,11,131,0.083969465648854961832061,http://statistics.data.gov.uk/id/statistical-geography/S12000030
Highland,27,346,0.078034682080924855491329,http://statistics.data.gov.uk/id/statistical-geography/S12000017
East Lothian,10,142,0.070422535211267605633802,http://statistics.data.gov.uk/id/statistical-geography/S12000010
Falkirk,16,238,0.067226890756302521008403,http://statistics.data.gov.uk/id/statistical-geography/S12000014
Clackmannanshire,5,76,0.065789473684210526315789,http://statistics.data.gov.uk/id/statistical-geography/S12000005
South Lanarkshire,31,480,0.064583333333333333333333,http://statistics.data.gov.uk/id/statistical-geography/S12000029
Moray,9,140,0.064285714285714285714285,http://statistics.data.gov.uk/id/statistical-geography/S12000020
Fife,35,556,0.062949640287769784172661,http://statistics.data.gov.uk/id/statistical-geography/S12000015
West Lothian,13,245,0.053061224489795918367346,http://statistics.data.gov.uk/id/statistical-geography/S12000040
Angus,8,167,0.047904191616766467065868,http://statistics.data.gov.uk/id/statistical-geography/S12000041
Dumfries & Galloway,10,228,0.043859649122807017543859,http://statistics.data.gov.uk/id/statistical-geography/S12000006
East Dunbartonshire,6,155,0.038709677419354838709677,http://statistics.data.gov.uk/id/statistical-geography/S12000045
Perth & Kinross,8,209,0.038277511961722488038277,http://statistics.data.gov.uk/id/statistical-geography/S12000024
Midlothian,5,132,0.037878787878787878787878,http://statistics.data.gov.uk/id/statistical-geography/S12000019
Scottish Borders,5,159,0.031446540880503144654088,http://statistics.data.gov.uk/id/statistical-geography/S12000026
Aberdeenshire,11,358,0.030726256983240223463687,http://statistics.data.gov.uk/id/statistical-geography/S12000034
Eilean Siar,1,45,0.022222222222222222222222,http://statistics.data.gov.uk/id/statistical-geography/S12000013
East Renfrewshire,3,140,0.021428571428571428571428,http://statistics.data.gov.uk/id/statistical-geography/S12000011
Orkney Islands,0,33,0.0,http://statistics.data.gov.uk/id/statistical-geography/S12000023
Shetland Islands,0,37,0.0,http://statistics.data.gov.uk/id/statistical-geography/S12000027
