label,dep_count,total_count,prop,council
Glasgow City,217,827,0.26239419588875453446191,http://statistics.data.gov.uk/id/statistical-geography/S12000046
Inverclyde,32,127,0.251968503937007874015748,http://statistics.data.gov.uk/id/statistical-geography/S12000018
Dundee City,40,210,0.190476190476190476190476,http://statistics.data.gov.uk/id/statistical-geography/S12000042
West Dunbartonshire,23,136,0.169117647058823529411764,http://statistics.data.gov.uk/id/statistical-geography/S12000039
North Ayrshire,31,217,0.142857142857142857142857,http://statistics.data.gov.uk/id/statistical-geography/S12000021
Renfrewshire,36,252,0.142857142857142857142857,http://statistics.data.gov.uk/id/statistical-geography/S12000038
Clackmannanshire,10,76,0.131578947368421052631578,http://statistics.data.gov.uk/id/statistical-geography/S12000005
North Lanarkshire,54,491,0.10997963340122199592668,http://statistics.data.gov.uk/id/statistical-geography/S12000044
East Ayrshire,20,184,0.10869565217391304347826,http://statistics.data.gov.uk/id/statistical-geography/S12000008
South Lanarkshire,43,480,0.089583333333333333333333,http://statistics.data.gov.uk/id/statistical-geography/S12000029
South Ayrshire,12,171,0.070175438596491228070175,http://statistics.data.gov.uk/id/statistical-geography/S12000028
Fife,29,556,0.052158273381294964028776,http://statistics.data.gov.uk/id/statistical-geography/S12000015
City of Edinburgh,33,650,0.050769230769230769230769,http://statistics.data.gov.uk/id/statistical-geography/S12000036
Falkirk,12,238,0.050420168067226890756302,http://statistics.data.gov.uk/id/statistical-geography/S12000014
Argyll & Bute,7,144,0.048611111111111111111111,http://statistics.data.gov.uk/id/statistical-geography/S12000035
East Renfrewshire,6,140,0.042857142857142857142857,http://statistics.data.gov.uk/id/statistical-geography/S12000011
Dumfries & Galloway,9,228,0.039473684210526315789473,http://statistics.data.gov.uk/id/statistical-geography/S12000006
Stirling,5,131,0.038167938931297709923664,http://statistics.data.gov.uk/id/statistical-geography/S12000030
West Lothian,6,245,0.024489795918367346938775,http://statistics.data.gov.uk/id/statistical-geography/S12000040
East Lothian,3,142,0.02112676056338028169014,http://statistics.data.gov.uk/id/statistical-geography/S12000010
Aberdeen City,6,314,0.019108280254777070063694,http://statistics.data.gov.uk/id/statistical-geography/S12000033
Highland,6,346,0.017341040462427745664739,http://statistics.data.gov.uk/id/statistical-geography/S12000017
Midlothian,2,132,0.015151515151515151515151,http://statistics.data.gov.uk/id/statistical-geography/S12000019
East Dunbartonshire,2,155,0.012903225806451612903225,http://statistics.data.gov.uk/id/statistical-geography/S12000045
Angus,2,167,0.011976047904191616766467,http://statistics.data.gov.uk/id/statistical-geography/S12000041
Perth & Kinross,2,209,0.009569377990430622009569,http://statistics.data.gov.uk/id/statistical-geography/S12000024
Scottish Borders,1,159,0.006289308176100628930817,http://statistics.data.gov.uk/id/statistical-geography/S12000026
Aberdeenshire,1,358,0.002793296089385474860335,http://statistics.data.gov.uk/id/statistical-geography/S12000034
Eilean Siar,0,45,0.0,http://statistics.data.gov.uk/id/statistical-geography/S12000013
Moray,0,140,0.0,http://statistics.data.gov.uk/id/statistical-geography/S12000020
Orkney Islands,0,33,0.0,http://statistics.data.gov.uk/id/statistical-geography/S12000023
Shetland Islands,0,37,0.0,http://statistics.data.gov.uk/id/statistical-geography/S12000027
