label,dep_count,total_count,prop,council
Glasgow City,244,827,0.295042321644498186215235,http://statistics.data.gov.uk/id/statistical-geography/S12000046
Inverclyde,36,127,0.283464566929133858267716,http://statistics.data.gov.uk/id/statistical-geography/S12000018
North Ayrshire,37,217,0.170506912442396313364055,http://statistics.data.gov.uk/id/statistical-geography/S12000021
Renfrewshire,37,252,0.146825396825396825396825,http://statistics.data.gov.uk/id/statistical-geography/S12000038
East Ayrshire,24,184,0.130434782608695652173913,http://statistics.data.gov.uk/id/statistical-geography/S12000008
West Dunbartonshire,16,136,0.117647058823529411764705,http://statistics.data.gov.uk/id/statistical-geography/S12000039
Aberdeen City,35,314,0.111464968152866242038216,http://statistics.data.gov.uk/id/statistical-geography/S12000033
Dundee City,22,210,0.104761904761904761904761,http://statistics.data.gov.uk/id/statistical-geography/S12000042
North Lanarkshire,51,491,0.103869653767820773930753,http://statistics.data.gov.uk/id/statistical-geography/S12000044
West Lothian,23,245,0.093877551020408163265306,http://statistics.data.gov.uk/id/statistical-geography/S12000040
South Ayrshire,14,171,0.081871345029239766081871,http://statistics.data.gov.uk/id/statistical-geography/S12000028
Argyll & Bute,7,144,0.048611111111111111111111,http://statistics.data.gov.uk/id/statistical-geography/S12000035
City of Edinburgh,29,650,0.044615384615384615384615,http://statistics.data.gov.uk/id/statistical-geography/S12000036
Highland,14,346,0.040462427745664739884393,http://statistics.data.gov.uk/id/statistical-geography/S12000017
Scottish Borders,6,159,0.037735849056603773584905,http://statistics.data.gov.uk/id/statistical-geography/S12000026
South Lanarkshire,18,480,0.0375,http://statistics.data.gov.uk/id/statistical-geography/S12000029
Dumfries & Galloway,7,228,0.030701754385964912280701,http://statistics.data.gov.uk/id/statistical-geography/S12000006
Stirling,4,131,0.030534351145038167938931,http://statistics.data.gov.uk/id/statistical-geography/S12000030
East Renfrewshire,4,140,0.028571428571428571428571,http://statistics.data.gov.uk/id/statistical-geography/S12000011
Perth & Kinross,5,209,0.023923444976076555023923,http://statistics.data.gov.uk/id/statistical-geography/S12000024
East Dunbartonshire,3,155,0.019354838709677419354838,http://statistics.data.gov.uk/id/statistical-geography/S12000045
Midlothian,2,132,0.015151515151515151515151,http://statistics.data.gov.uk/id/statistical-geography/S12000019
Fife,8,556,0.014388489208633093525179,http://statistics.data.gov.uk/id/statistical-geography/S12000015
Clackmannanshire,1,76,0.013157894736842105263157,http://statistics.data.gov.uk/id/statistical-geography/S12000005
Falkirk,2,238,0.00840336134453781512605,http://statistics.data.gov.uk/id/statistical-geography/S12000014
East Lothian,1,142,0.00704225352112676056338,http://statistics.data.gov.uk/id/statistical-geography/S12000010
Eilean Siar,0,45,0.0,http://statistics.data.gov.uk/id/statistical-geography/S12000013
Moray,0,140,0.0,http://statistics.data.gov.uk/id/statistical-geography/S12000020
Orkney Islands,0,33,0.0,http://statistics.data.gov.uk/id/statistical-geography/S12000023
Shetland Islands,0,37,0.0,http://statistics.data.gov.uk/id/statistical-geography/S12000027
Aberdeenshire,0,358,0.0,http://statistics.data.gov.uk/id/statistical-geography/S12000034
Angus,0,167,0.0,http://statistics.data.gov.uk/id/statistical-geography/S12000041
