school,school_label,latitude,longitude,pupils
http://data.opendatascotland.org/id/educational-establishment/5510236,Linlithgow Academy,55.9716,-3.61259,1231
http://data.opendatascotland.org/id/educational-establishment/5509939,St Kentigern's Academy,55.87101,-3.63367,1215
http://data.opendatascotland.org/id/educational-establishment/5512131,"James Young High,The",55.88093,-3.51523,1135
http://data.opendatascotland.org/id/educational-establishment/5512530,St Margaret's Academy,55.88937,-3.52213,1094
http://data.opendatascotland.org/id/educational-establishment/5502632,Inveralmond Community High,55.90146,-3.51932,1090
http://data.opendatascotland.org/id/educational-establishment/5502330,West Calder High,55.86291,-3.54044,950
http://data.opendatascotland.org/id/educational-establishment/5502535,Deans Community High,55.90581,-3.54977,941
http://data.opendatascotland.org/id/educational-establishment/5510031,Broxburn Academy,55.93694,-3.48778,903
http://data.opendatascotland.org/id/educational-establishment/5509432,Bathgate Academy,55.89838,-3.61313,899
http://data.opendatascotland.org/id/educational-establishment/5510430,Whitburn Academy,55.86804,-3.67964,822
http://data.opendatascotland.org/id/educational-establishment/5509238,Armadale Academy,55.89481,-3.71436,780
http://data.opendatascotland.org/id/educational-establishment/5504627,Armadale,55.89717,-3.70321,440
http://data.opendatascotland.org/id/educational-establishment/5504929,Balbardie,55.90518,-3.63735,423
http://data.opendatascotland.org/id/educational-establishment/5507227,Linlithgow,55.97165,-3.60945,417
http://data.opendatascotland.org/id/educational-establishment/5512220,Peel,55.89497,-3.53573,407
http://data.opendatascotland.org/id/educational-establishment/5512425,Williamston,55.87527,-3.50414,404
http://data.opendatascotland.org/id/educational-establishment/5502926,Carmondean,55.90662,-3.5419,402
http://data.opendatascotland.org/id/educational-establishment/5505321,"St Mary's, Bathgate",55.90016,-3.64731,401
http://data.opendatascotland.org/id/educational-establishment/5501024,Harrysmuir,55.90146,-3.51932,401
http://data.opendatascotland.org/id/educational-establishment/5511526,St John Ogilvie,55.90437,-3.55298,368
http://data.opendatascotland.org/id/educational-establishment/5506220,St Nicholas,55.93284,-3.48396,364
http://data.opendatascotland.org/id/educational-establishment/5506220,St Nicholas,55.93461,-3.47285,364
http://data.opendatascotland.org/id/educational-establishment/5506026,Broxburn,55.93545,-3.4744,361
http://data.opendatascotland.org/id/educational-establishment/5505429,Windyknowe,55.89849,-3.66481,359
http://data.opendatascotland.org/id/educational-establishment/5501628,Parkhead,55.85232,-3.56651,354
http://data.opendatascotland.org/id/educational-establishment/5508924,Whitdale Primary,55.8656,-3.67475,345
http://data.opendatascotland.org/id/educational-establishment/5502420,Simpson Primary,55.89066,-3.62362,336
http://data.opendatascotland.org/id/educational-establishment/5502721,Bankton,55.88157,-3.50703,331
http://data.opendatascotland.org/id/educational-establishment/5504724,Eastertoun,55.89812,-3.71076,329
http://data.opendatascotland.org/id/educational-establishment/5501121,Howden St Andrew's,55.893,-3.50936,322
http://data.opendatascotland.org/id/educational-establishment/5512026,Springfield,55.9803,-3.58219,301
http://data.opendatascotland.org/id/educational-establishment/5508223,Uphall,55.93376,-3.50455,298
http://data.opendatascotland.org/id/educational-establishment/5501520,Mid Calder,55.88633,-3.48354,291
http://data.opendatascotland.org/id/educational-establishment/5511224,St Ninian's,55.88153,-3.4988,282
http://data.opendatascotland.org/id/educational-establishment/5501423,Toronto,55.89403,-3.51243,258
http://data.opendatascotland.org/id/educational-establishment/5507626,Deans Primary,55.8996,-3.56151,258
http://data.opendatascotland.org/id/educational-establishment/5501326,Riverside,55.89525,-3.50174,254
http://data.opendatascotland.org/id/educational-establishment/5505127,Boghall,55.89977,-3.60682,252
http://data.opendatascotland.org/id/educational-establishment/5505526,Murrayfield,55.87794,-3.62005,249
http://data.opendatascotland.org/id/educational-establishment/5507529,Knightsridge,55.90847,-3.52054,249
http://data.opendatascotland.org/id/educational-establishment/5506123,Kirkhill,55.9363,-3.49369,249
http://data.opendatascotland.org/id/educational-establishment/5500524,East Calder,55.89269,-3.4644,246
http://data.opendatascotland.org/id/educational-establishment/5502225,Livingston Village Primary,55.88713,-3.54252,225
http://data.opendatascotland.org/id/educational-establishment/5507421,Low Port,55.97764,-3.59718,207
http://data.opendatascotland.org/id/educational-establishment/5508525,Croftmalloch,55.86123,-3.68423,206
http://data.opendatascotland.org/id/educational-establishment/5508827,"St Joseph's, Whitburn",55.86141,-3.69592,206
http://data.opendatascotland.org/id/educational-establishment/5501229,Letham,55.89881,-3.49093,203
http://data.opendatascotland.org/id/educational-establishment/5511623,Meldrum,55.90563,-3.56277,198
http://data.opendatascotland.org/id/educational-establishment/5503027,Linlithgow Bridge Primary,55.97804,-3.62231,198
http://data.opendatascotland.org/id/educational-establishment/5504821,St Anthony's,55.89619,-3.70011,192
http://data.opendatascotland.org/id/educational-establishment/5500826,Dedridge,55.88383,-3.49903,191
http://data.opendatascotland.org/id/educational-establishment/5500427,Bellsquarry,55.86878,-3.52982,190
http://data.opendatascotland.org/id/educational-establishment/5500729,Kirknewton,55.88479,-3.42594,183
http://data.opendatascotland.org/id/educational-establishment/5500729,Kirknewton,55.88807,-3.42884,183
http://data.opendatascotland.org/id/educational-establishment/5506824,St John The Baptist,55.83026,-3.70456,176
http://data.opendatascotland.org/id/educational-establishment/5508622,Polkemmet,55.86204,-3.69082,169
http://data.opendatascotland.org/id/educational-establishment/5506727,Falla Hill,55.82792,-3.71016,168
http://data.opendatascotland.org/id/educational-establishment/5500028,Pumpherston and Uphall Station,55.90655,-3.49183,168
http://data.opendatascotland.org/id/educational-establishment/5500028,Pumpherston and Uphall Station,55.90885,-3.49211,168
http://data.opendatascotland.org/id/educational-establishment/5505623,Our Lady of Lourdes,55.87509,-3.62618,148
http://data.opendatascotland.org/id/educational-establishment/5505828,Blackridge,55.88429,-3.77368,143
http://data.opendatascotland.org/id/educational-establishment/5505224,St Columba's,55.90156,-3.60997,126
http://data.opendatascotland.org/id/educational-establishment/5507324,"St Joseph's, Linlithgow",55.97165,-3.60945,124
http://data.opendatascotland.org/id/educational-establishment/5500621,St Paul's,55.89645,-3.45757,117
http://data.opendatascotland.org/id/educational-establishment/5501822,"St Mary's, Polbeth",55.85996,-3.55515,115
http://data.opendatascotland.org/id/educational-establishment/5510546,Pinewood,55.87249,-3.61281,115
http://data.opendatascotland.org/id/educational-establishment/5507820,Seafield,55.87864,-3.58856,115
http://data.opendatascotland.org/id/educational-establishment/5509025,Winchburgh,55.95631,-3.46832,102
http://data.opendatascotland.org/id/educational-establishment/5507928,Stoneyburn,55.84932,-3.62739,96
http://data.opendatascotland.org/id/educational-establishment/5500125,Addiewell,55.8452,-3.61746,95
http://data.opendatascotland.org/id/educational-establishment/5507723,Longridge,55.84493,-3.67811,92
http://data.opendatascotland.org/id/educational-establishment/5505925,Bridgend,55.96256,-3.53472,78
http://data.opendatascotland.org/id/educational-establishment/5511844,Cedarbank,55.89696,-3.5167,75
http://data.opendatascotland.org/id/educational-establishment/5508126,Torphichen,55.93437,-3.65513,71
http://data.opendatascotland.org/id/educational-establishment/5509122,Holy Family,55.95631,-3.46832,60
http://data.opendatascotland.org/id/educational-establishment/5505720,Blackburn,55.8775,-3.63012,59
http://data.opendatascotland.org/id/educational-establishment/5500346,Ogilvie School Campus,55.90653,-3.52634,56
http://data.opendatascotland.org/id/educational-establishment/5508029,Our Lady's Primary,55.84601,-3.63337,53
http://data.opendatascotland.org/id/educational-establishment/5508428,Westfield,55.92798,-3.70243,38
http://data.opendatascotland.org/id/educational-establishment/5500222,St Thomas',55.8452,-3.61746,36
http://data.opendatascotland.org/id/educational-establishment/5509343,Beatlie School,55.89686,-3.49517,34
http://data.opendatascotland.org/id/educational-establishment/5502020,Woodmuir,55.82852,-3.65678,27
http://data.opendatascotland.org/id/educational-establishment/5511941,Burnhouse,55.86204,-3.69082,16
http://data.opendatascotland.org/id/educational-establishment/5506425,Dechmont,55.91956,-3.54255,14
