,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Account Key,Account Name,  Site Key,  Site Name,  Address Line 1,  Address Line 2,  City,  PostCode,Contract Detail Number,Location DESC,Container Container Code,Container DESC,Bin Size,EWC Code,EWC Product Group,Conveyance Note Number,Mode DESC,Serviced,Total Costs,Raw Total Weight (Tonnes),Recycling,Costs,General Waste (RDF),Costs,Food,Costs,Glass,Costs,Baled Card,Costs,Containers Quantity
,U13470,UNIVERSITY OF EDINBURGH,U13470*1*3,UNIVERSITY OF EDINBURGH,"GRANT HOUSE, POLLOCK HALLS",18 HOLYROOD PARK ROAD,EDINBURGH,EH16 5AY,1513798*3*00300000,EDINBURGH DEPOT,00300000,1100L WHEELIE BIN,1.1,200301,General,004*415364,TRADE-WASTE,23/11/2015 00:00:00,£8.96,0.055,,,0.055,£8.96,,,,,,,1
,U13470,UNIVERSITY OF EDINBURGH,U13470*1*3,UNIVERSITY OF EDINBURGH,"GRANT HOUSE, POLLOCK HALLS",18 HOLYROOD PARK ROAD,EDINBURGH,EH16 5AY,1513798*3*00300000,EDINBURGH DEPOT,00300000,1100L WHEELIE BIN,1.1,200301,General,004*419173,TRADE-WASTE,25/11/2015 00:00:00,£8.96,0.055,,,0.055,£8.96,,,,,,,1
,U13470,UNIVERSITY OF EDINBURGH,U13470*1*3,UNIVERSITY OF EDINBURGH,"GRANT HOUSE, POLLOCK HALLS",18 HOLYROOD PARK ROAD,EDINBURGH,EH16 5AY,1513798*3*00300000,EDINBURGH DEPOT,00300000,1100L WHEELIE BIN,1.1,200301,General,004*422963,TRADE-WASTE,27/11/2015 00:00:00,£8.96,0.041,,,0.041,£8.96,,,,,,,1
,U13470,UNIVERSITY OF EDINBURGH,U13470*1*3,UNIVERSITY OF EDINBURGH,"GRANT HOUSE, POLLOCK HALLS",18 HOLYROOD PARK ROAD,EDINBURGH,EH16 5AY,1513798*3*00300000,EDINBURGH DEPOT,00300000,1100L WHEELIE BIN,1.1,200301,General,004*425414,TRADE-WASTE,30/11/2015 00:00:00,£8.96,0.060,,,0.060,£8.96,,,,,,,1
,U13470,UNIVERSITY OF EDINBURGH,U13470*1*3,UNIVERSITY OF EDINBURGH,"GRANT HOUSE, POLLOCK HALLS",18 HOLYROOD PARK ROAD,EDINBURGH,EH16 5AY,1513798*3*00300000,EDINBURGH DEPOT,00300000,1100L WHEELIE BIN,1.1,200301,General,004*429770,TRADE-WASTE,02/12/2015 00:00:00,£8.96,0.032,,,0.032,£8.96,,,,,,,1
,U13470,UNIVERSITY OF EDINBURGH,U13470*1*3,UNIVERSITY OF EDINBURGH,"GRANT HOUSE, POLLOCK HALLS",18 HOLYROOD PARK ROAD,EDINBURGH,EH16 5AY,1513798*3*00300000,EDINBURGH DEPOT,00300000,1100L WHEELIE BIN,1.1,200301,General,004*433529,TRADE-WASTE,04/12/2015 00:00:00,£8.96,0.049,,,0.049,£8.96,,,,,,,1
,U13470,UNIVERSITY OF EDINBURGH,U13470*1*3,UNIVERSITY OF EDINBURGH,"GRANT HOUSE, POLLOCK HALLS",18 HOLYROOD PARK ROAD,EDINBURGH,EH16 5AY,1513798*3*00300000,EDINBURGH DEPOT,00300000,1100L WHEELIE BIN,1.1,200301,General,004*436510,TRADE-WASTE,07/12/2015 00:00:00,£8.96,0.053,,,0.053,£8.96,,,,,,,1
,U13470,UNIVERSITY OF EDINBURGH,U13470*1*3,UNIVERSITY OF EDINBURGH,"GRANT HOUSE, POLLOCK HALLS",18 HOLYROOD PARK ROAD,EDINBURGH,EH16 5AY,1513798*3*00300000,EDINBURGH DEPOT,00300000,1100L WHEELIE BIN,1.1,200301,General,004*440294,TRADE-WASTE,09/12/2015 00:00:00,£8.96,0.053,,,0.053,£8.96,,,,,,,1
,U13470,UNIVERSITY OF EDINBURGH,U13470*1*3,UNIVERSITY OF EDINBURGH,"GRANT HOUSE, POLLOCK HALLS",18 HOLYROOD PARK ROAD,EDINBURGH,EH16 5AY,1513798*3*00300000,EDINBURGH DEPOT,00300000,1100L WHEELIE BIN,1.1,200301,General,004*444141,TRADE-WASTE,11/12/2015 00:00:00,£8.96,0.043,,,0.043,£8.96,,,,,,,1
,U13470,UNIVERSITY OF EDINBURGH,U13470*1*3,UNIVERSITY OF EDINBURGH,"GRANT HOUSE, POLLOCK HALLS",18 HOLYROOD PARK ROAD,EDINBURGH,EH16 5AY,1513798*3*00300000,EDINBURGH DEPOT,00300000,1100L WHEELIE BIN,1.1,200301,General,004*447220,TRADE-WASTE,14/12/2015 00:00:00,£8.96,0.010,,,0.010,£8.96,,,,,,,1
,U13470,UNIVERSITY OF EDINBURGH,U13470*1*3,UNIVERSITY OF EDINBURGH,"GRANT HOUSE, POLLOCK HALLS",18 HOLYROOD PARK ROAD,EDINBURGH,EH16 5AY,1513798*3*00300000,EDINBURGH DEPOT,00300000,1100L WHEELIE BIN,1.1,200301,General,004*451002,TRADE-WASTE,16/12/2015 00:00:00,£8.96,0.058,,,0.058,£8.96,,,,,,,1
