,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Account Key,Account Name,  Site Key,  Site Name,  Address Line 1,  Address Line 2,  City,  PostCode,Contract Detail Number,Location DESC,Container Container Code,Container DESC,Bin Size,EWC Code,EWC Product Group,Conveyance Note Number,Mode DESC,Serviced,Total Costs,Raw Total Weight (Tonnes),Recycling,Costs,General Waste (RDF),Costs,Food,Costs,Glass,Costs,Baled Card,Costs,Containers Quantity
,U13470,UNIVERSITY OF EDINBURGH,U13470*1*8,UNIVERSITY OF EDINBURGH,"HOLLAND HOUSE, POLLOCK HALLS",18 HOLYROOD PARK ROAD,EDINBURGH,EH16 5AY,1513827*8*00300000,EDINBURGH DEPOT,00300000,1100L WHEELIE BIN,1.1,200301,General,004*415374,TRADE-WASTE,23/11/2015 00:00:00,£26.88,0.175,,,0.175,£26.88,,,,,,,3
,U13470,UNIVERSITY OF EDINBURGH,U13470*1*8,UNIVERSITY OF EDINBURGH,"HOLLAND HOUSE, POLLOCK HALLS",18 HOLYROOD PARK ROAD,EDINBURGH,EH16 5AY,1513827*8*00300000,EDINBURGH DEPOT,00300000,1100L WHEELIE BIN,1.1,200301,General,004*421097,TRADE-WASTE,26/11/2015 00:00:00,£17.92,0.137,,,0.137,£17.92,,,,,,,2
,U13470,UNIVERSITY OF EDINBURGH,U13470*1*8,UNIVERSITY OF EDINBURGH,"HOLLAND HOUSE, POLLOCK HALLS",18 HOLYROOD PARK ROAD,EDINBURGH,EH16 5AY,1513827*8*00300000,EDINBURGH DEPOT,00300000,1100L WHEELIE BIN,1.1,200301,General,004*425424,TRADE-WASTE,30/11/2015 00:00:00,£26.88,0.200,,,0.200,£26.88,,,,,,,3
,U13470,UNIVERSITY OF EDINBURGH,U13470*1*8,UNIVERSITY OF EDINBURGH,"HOLLAND HOUSE, POLLOCK HALLS",18 HOLYROOD PARK ROAD,EDINBURGH,EH16 5AY,1513827*8*00300000,EDINBURGH DEPOT,00300000,1100L WHEELIE BIN,1.1,200301,General,004*431721,TRADE-WASTE,03/12/2015 00:00:00,£26.88,0.121,,,0.121,£26.88,,,,,,,3
,U13470,UNIVERSITY OF EDINBURGH,U13470*1*8,UNIVERSITY OF EDINBURGH,"HOLLAND HOUSE, POLLOCK HALLS",18 HOLYROOD PARK ROAD,EDINBURGH,EH16 5AY,1513827*8*00300000,EDINBURGH DEPOT,00300000,1100L WHEELIE BIN,1.1,200301,General,004*436520,TRADE-WASTE,07/12/2015 00:00:00,£26.88,0.167,,,0.167,£26.88,,,,,,,3
,U13470,UNIVERSITY OF EDINBURGH,U13470*1*8,UNIVERSITY OF EDINBURGH,"HOLLAND HOUSE, POLLOCK HALLS",18 HOLYROOD PARK ROAD,EDINBURGH,EH16 5AY,1513827*8*00300000,EDINBURGH DEPOT,00300000,1100L WHEELIE BIN,1.1,200301,General,004*442258,TRADE-WASTE,10/12/2015 00:00:00,£26.88,0.140,,,0.140,£26.88,,,,,,,3
,U13470,UNIVERSITY OF EDINBURGH,U13470*1*8,UNIVERSITY OF EDINBURGH,"HOLLAND HOUSE, POLLOCK HALLS",18 HOLYROOD PARK ROAD,EDINBURGH,EH16 5AY,1513827*8*00300000,EDINBURGH DEPOT,00300000,1100L WHEELIE BIN,1.1,200301,General,004*447230,TRADE-WASTE,14/12/2015 00:00:00,£26.88,0.199,,,0.199,£26.88,,,,,,,3
,U13470,UNIVERSITY OF EDINBURGH,U13470*1*8,UNIVERSITY OF EDINBURGH,"HOLLAND HOUSE, POLLOCK HALLS",18 HOLYROOD PARK ROAD,EDINBURGH,EH16 5AY,1513827*8*00300000,EDINBURGH DEPOT,00300000,1100L WHEELIE BIN,1.1,200301,General,004*452871,TRADE-WASTE,17/12/2015 00:00:00,£17.92,0.088,,,0.088,£17.92,,,,,,,2
,U13470,UNIVERSITY OF EDINBURGH,U13470*1*8,UNIVERSITY OF EDINBURGH,"HOLLAND HOUSE, POLLOCK HALLS",18 HOLYROOD PARK ROAD,EDINBURGH,EH16 5AY,1513827*8*00300000,EDINBURGH DEPOT,00300000,1100L WHEELIE BIN,1.1,200301,General,004*459252,TRADE-WASTE,21/12/2015 00:00:00,£26.88,0.216,,,0.216,£26.88,,,,,,,3
,U13470,UNIVERSITY OF EDINBURGH,U13470*1*8,UNIVERSITY OF EDINBURGH,"HOLLAND HOUSE, POLLOCK HALLS",18 HOLYROOD PARK ROAD,EDINBURGH,EH16 5AY,1513827*8*00300000,EDINBURGH DEPOT,00300000,1100L WHEELIE BIN,1.1,200301,General,004*466935,TRADE-WASTE,23/12/2015 00:00:00,£26.88,0.167,,,0.167,£26.88,,,,,,,3
