,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Account Key,Account Name,  Site Key,  Site Name,  Address Line 1,  Address Line 2,  City,  PostCode,Contract Detail Number,Location DESC,Container Container Code,Container DESC,Bin Size,EWC Code,EWC Product Group,Conveyance Note Number,Mode DESC,Serviced,Total Costs,Raw Total Weight (Tonnes),Recycling,Costs,General Waste (RDF),Costs,Food,Costs,Glass,Costs,Baled Card,Costs,Containers Quantity
,U13470,UNIVERSITY OF EDINBURGH,U13470*1*11,UNIVERSITY OF EDINBURGH,"JMCC, POLLOCK HALLS",18 HOLYROOD PARK ROAD,EDINBURGH,EH16 5AY,1513836*11*00300000,EDINBURGH DEPOT,00300000,1100L WHEELIE BIN,1.1,200301,General,004*414348,TRADE-WASTE,21/11/2015 00:00:00,£35.84,0.346,,,0.346,£35.84,,,,,,,4
,U13470,UNIVERSITY OF EDINBURGH,U13470*1*11,UNIVERSITY OF EDINBURGH,"JMCC, POLLOCK HALLS",18 HOLYROOD PARK ROAD,EDINBURGH,EH16 5AY,1513836*11*00300000,EDINBURGH DEPOT,00300000,1100L WHEELIE BIN,1.1,200301,General,004*414677,TRADE-WASTE,22/11/2015 00:00:00,£35.84,0.132,,,0.132,£35.84,,,,,,,4
,U13470,UNIVERSITY OF EDINBURGH,U13470*1*11,UNIVERSITY OF EDINBURGH,"JMCC, POLLOCK HALLS",18 HOLYROOD PARK ROAD,EDINBURGH,EH16 5AY,1513836*11*00300000,EDINBURGH DEPOT,00300000,1100L WHEELIE BIN,1.1,200301,General,004*415365,TRADE-WASTE,23/11/2015 00:00:00,£35.84,0.284,,,0.284,£35.84,,,,,,,4
,U13470,UNIVERSITY OF EDINBURGH,U13470*1*11,UNIVERSITY OF EDINBURGH,"JMCC, POLLOCK HALLS",18 HOLYROOD PARK ROAD,EDINBURGH,EH16 5AY,1513836*11*00300000,EDINBURGH DEPOT,00300000,1100L WHEELIE BIN,1.1,200301,General,004*417269,TRADE-WASTE,24/11/2015 00:00:00,£8.96,0.071,,,0.071,£8.96,,,,,,,1
,U13470,UNIVERSITY OF EDINBURGH,U13470*1*11,UNIVERSITY OF EDINBURGH,"JMCC, POLLOCK HALLS",18 HOLYROOD PARK ROAD,EDINBURGH,EH16 5AY,1513836*11*00300000,EDINBURGH DEPOT,00300000,1100L WHEELIE BIN,1.1,200301,General,004*419174,TRADE-WASTE,25/11/2015 00:00:00,£17.92,0.168,,,0.168,£17.92,,,,,,,2
,U13470,UNIVERSITY OF EDINBURGH,U13470*1*11,UNIVERSITY OF EDINBURGH,"JMCC, POLLOCK HALLS",18 HOLYROOD PARK ROAD,EDINBURGH,EH16 5AY,1513836*11*00300000,EDINBURGH DEPOT,00300000,1100L WHEELIE BIN,1.1,200301,General,004*421093,TRADE-WASTE,26/11/2015 00:00:00,£17.92,0.095,,,0.095,£17.92,,,,,,,2
,U13470,UNIVERSITY OF EDINBURGH,U13470*1*11,UNIVERSITY OF EDINBURGH,"JMCC, POLLOCK HALLS",18 HOLYROOD PARK ROAD,EDINBURGH,EH16 5AY,1513836*11*00300000,EDINBURGH DEPOT,00300000,1100L WHEELIE BIN,1.1,200301,General,004*422964,TRADE-WASTE,27/11/2015 00:00:00,£26.88,0.182,,,0.182,£26.88,,,,,,,3
,U13470,UNIVERSITY OF EDINBURGH,U13470*1*11,UNIVERSITY OF EDINBURGH,"JMCC, POLLOCK HALLS",18 HOLYROOD PARK ROAD,EDINBURGH,EH16 5AY,1513836*11*00300000,EDINBURGH DEPOT,00300000,1100L WHEELIE BIN,1.1,200301,General,004*425415,TRADE-WASTE,30/11/2015 00:00:00,£35.84,0.240,,,0.240,£35.84,,,,,,,4
,U13470,UNIVERSITY OF EDINBURGH,U13470*1*11,UNIVERSITY OF EDINBURGH,"JMCC, POLLOCK HALLS",18 HOLYROOD PARK ROAD,EDINBURGH,EH16 5AY,1513836*11*00300000,EDINBURGH DEPOT,00300000,1100L WHEELIE BIN,1.1,200301,General,004*426977,TRADE-WASTE,28/11/2015 00:00:00,£8.96,0.084,,,0.084,£8.96,,,,,,,1
,U13470,UNIVERSITY OF EDINBURGH,U13470*1*11,UNIVERSITY OF EDINBURGH,"JMCC, POLLOCK HALLS",18 HOLYROOD PARK ROAD,EDINBURGH,EH16 5AY,1513836*11*00300000,EDINBURGH DEPOT,00300000,1100L WHEELIE BIN,1.1,200301,General,004*427307,TRADE-WASTE,29/11/2015 00:00:00,£35.84,0.106,,,0.106,£35.84,,,,,,,4
