,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Account Key,Account Name,  Site Key,  Site Name,  Address Line 1,  Address Line 2,  City,  PostCode,Contract Detail Number,Location DESC,Container Container Code,Container DESC,Bin Size,EWC Code,EWC Product Group,Conveyance Note Number,Mode DESC,Serviced,Total Costs,Raw Total Weight (Tonnes),Recycling,Costs,General Waste (RDF),Costs,Food,Costs,Glass,Costs,Baled Card,Costs,Containers Quantity
,U13470,UNIVERSITY OF EDINBURGH,U13470*1*5,UNIVERSITY OF EDINBURGH,"MASSON HOUSE, POLLOCK HALLS",18 HOLYROOD PARK ROAD,EDINBURGH,EH16 5AY,1513803*5*00300000,EDINBURGH DEPOT,00300000,1100L WHEELIE BIN,1.1,200301,General,004*415371,TRADE-WASTE,23/11/2015 00:00:00,£8.96,0.074,,,0.074,£8.96,,,,,,,1
,U13470,UNIVERSITY OF EDINBURGH,U13470*1*5,UNIVERSITY OF EDINBURGH,"MASSON HOUSE, POLLOCK HALLS",18 HOLYROOD PARK ROAD,EDINBURGH,EH16 5AY,1513803*5*00300000,EDINBURGH DEPOT,00300000,1100L WHEELIE BIN,1.1,200301,General,004*421094,TRADE-WASTE,26/11/2015 00:00:00,£8.96,0.078,,,0.078,£8.96,,,,,,,1
,U13470,UNIVERSITY OF EDINBURGH,U13470*1*5,UNIVERSITY OF EDINBURGH,"MASSON HOUSE, POLLOCK HALLS",18 HOLYROOD PARK ROAD,EDINBURGH,EH16 5AY,1513803*5*00300000,EDINBURGH DEPOT,00300000,1100L WHEELIE BIN,1.1,200301,General,004*425421,TRADE-WASTE,30/11/2015 00:00:00,£17.92,0.120,,,0.120,£17.92,,,,,,,2
,U13470,UNIVERSITY OF EDINBURGH,U13470*1*5,UNIVERSITY OF EDINBURGH,"MASSON HOUSE, POLLOCK HALLS",18 HOLYROOD PARK ROAD,EDINBURGH,EH16 5AY,1513803*5*00300000,EDINBURGH DEPOT,00300000,1100L WHEELIE BIN,1.1,200301,General,004*431718,TRADE-WASTE,03/12/2015 00:00:00,£8.96,0.057,,,0.057,£8.96,,,,,,,1
,U13470,UNIVERSITY OF EDINBURGH,U13470*1*5,UNIVERSITY OF EDINBURGH,"MASSON HOUSE, POLLOCK HALLS",18 HOLYROOD PARK ROAD,EDINBURGH,EH16 5AY,1513803*5*00300000,EDINBURGH DEPOT,00300000,1100L WHEELIE BIN,1.1,200301,General,004*436517,TRADE-WASTE,07/12/2015 00:00:00,£8.96,0.077,,,0.077,£8.96,,,,,,,1
,U13470,UNIVERSITY OF EDINBURGH,U13470*1*5,UNIVERSITY OF EDINBURGH,"MASSON HOUSE, POLLOCK HALLS",18 HOLYROOD PARK ROAD,EDINBURGH,EH16 5AY,1513803*5*00300000,EDINBURGH DEPOT,00300000,1100L WHEELIE BIN,1.1,200301,General,004*442255,TRADE-WASTE,10/12/2015 00:00:00,£8.96,0.016,,,0.016,£8.96,,,,,,,1
,U13470,UNIVERSITY OF EDINBURGH,U13470*1*5,UNIVERSITY OF EDINBURGH,"MASSON HOUSE, POLLOCK HALLS",18 HOLYROOD PARK ROAD,EDINBURGH,EH16 5AY,1513803*5*00300000,EDINBURGH DEPOT,00300000,1100L WHEELIE BIN,1.1,200301,General,004*447227,TRADE-WASTE,14/12/2015 00:00:00,£8.96,0.053,,,0.053,£8.96,,,,,,,1
,U13470,UNIVERSITY OF EDINBURGH,U13470*1*5,UNIVERSITY OF EDINBURGH,"MASSON HOUSE, POLLOCK HALLS",18 HOLYROOD PARK ROAD,EDINBURGH,EH16 5AY,1513803*5*00300000,EDINBURGH DEPOT,00300000,1100L WHEELIE BIN,1.1,200301,General,004*452868,TRADE-WASTE,17/12/2015 00:00:00,£8.96,0.066,,,0.066,£8.96,,,,,,,1
,U13470,UNIVERSITY OF EDINBURGH,U13470*1*5,UNIVERSITY OF EDINBURGH,"MASSON HOUSE, POLLOCK HALLS",18 HOLYROOD PARK ROAD,EDINBURGH,EH16 5AY,1513803*5*00300000,EDINBURGH DEPOT,00300000,1100L WHEELIE BIN,1.1,200301,General,004*459249,TRADE-WASTE,21/12/2015 00:00:00,£17.92,0.162,,,0.162,£17.92,,,,,,,2
,U13470,UNIVERSITY OF EDINBURGH,U13470*1*5,UNIVERSITY OF EDINBURGH,"MASSON HOUSE, POLLOCK HALLS",18 HOLYROOD PARK ROAD,EDINBURGH,EH16 5AY,1513803*5*00300000,EDINBURGH DEPOT,00300000,1100L WHEELIE BIN,1.1,200301,General,004*466933,TRADE-WASTE,23/12/2015 00:00:00,£8.96,0.040,,,0.040,£8.96,,,,,,,1
