,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Account Key,Account Name,  Site Key,  Site Name,  Address Line 1,  Address Line 2,  City,  PostCode,Contract Detail Number,Location DESC,Container Container Code,Container DESC,Bin Size,EWC Code,EWC Product Group,Conveyance Note Number,Mode DESC,Serviced,Total Costs,Raw Total Weight (Tonnes),Recycling,Costs,General Waste (RDF),Costs,Food,Costs,Glass,Costs,Baled Card,Costs,Containers Quantity
,U13470,UNIVERSITY OF EDINBURGH,U13470*1*18,UNIVERSITY OF EDINBURGH,ARCADIA NURSERY,63 WEST MAINS ROAD,EDINBURGH,EH9 3JE,1807779*18*00300000,EDINBURGH DEPOT,00300000,1100L WHEELIE BIN,1.1,200301,General,004*419159,TRADE-WASTE,25/11/2015 00:00:00,£8.96,0.020,,,0.020,£8.96,,,,,,,1
,U13470,UNIVERSITY OF EDINBURGH,U13470*1*18,UNIVERSITY OF EDINBURGH,ARCADIA NURSERY,63 WEST MAINS ROAD,EDINBURGH,EH9 3JE,1807779*18*00300000,EDINBURGH DEPOT,00300000,1100L WHEELIE BIN,1.1,200301,General,004*422906,TRADE-WASTE,27/11/2015 00:00:00,£8.96,0.013,,,0.013,£8.96,,,,,,,1
,U13470,UNIVERSITY OF EDINBURGH,U13470*1*18,UNIVERSITY OF EDINBURGH,ARCADIA NURSERY,63 WEST MAINS ROAD,EDINBURGH,EH9 3JE,1807779*18*00300000,EDINBURGH DEPOT,00300000,1100L WHEELIE BIN,1.1,200301,General,004*429757,TRADE-WASTE,02/12/2015 00:00:00,£8.96,0.017,,,0.017,£8.96,,,,,,,1
,U13470,UNIVERSITY OF EDINBURGH,U13470*1*18,UNIVERSITY OF EDINBURGH,ARCADIA NURSERY,63 WEST MAINS ROAD,EDINBURGH,EH9 3JE,1807779*18*00300000,EDINBURGH DEPOT,00300000,1100L WHEELIE BIN,1.1,200301,General,004*433472,TRADE-WASTE,04/12/2015 00:00:00,£8.96,0.052,,,0.052,£8.96,,,,,,,1
,U13470,UNIVERSITY OF EDINBURGH,U13470*1*18,UNIVERSITY OF EDINBURGH,ARCADIA NURSERY,63 WEST MAINS ROAD,EDINBURGH,EH9 3JE,1807779*18*00300000,EDINBURGH DEPOT,00300000,1100L WHEELIE BIN,1.1,200301,General,004*439824,TRADE-WASTE,09/12/2015 00:00:00,£8.96,0.019,,,0.019,£8.96,,,,,,,1
,U13470,UNIVERSITY OF EDINBURGH,U13470*1*18,UNIVERSITY OF EDINBURGH,ARCADIA NURSERY,63 WEST MAINS ROAD,EDINBURGH,EH9 3JE,1807779*18*00300000,EDINBURGH DEPOT,00300000,1100L WHEELIE BIN,1.1,200301,General,004*444084,TRADE-WASTE,11/12/2015 00:00:00,£8.96,0.020,,,0.020,£8.96,,,,,,,1
,U13470,UNIVERSITY OF EDINBURGH,U13470*1*18,UNIVERSITY OF EDINBURGH,ARCADIA NURSERY,63 WEST MAINS ROAD,EDINBURGH,EH9 3JE,1807779*18*00300000,EDINBURGH DEPOT,00300000,1100L WHEELIE BIN,1.1,200301,General,004*450989,TRADE-WASTE,16/12/2015 00:00:00,£8.96,0.028,,,0.028,£8.96,,,,,,,1
,U13470,UNIVERSITY OF EDINBURGH,U13470*1*18,UNIVERSITY OF EDINBURGH,ARCADIA NURSERY,63 WEST MAINS ROAD,EDINBURGH,EH9 3JE,1807779*18*00300000,EDINBURGH DEPOT,00300000,1100L WHEELIE BIN,1.1,200301,General,004*455177,TRADE-WASTE,18/12/2015 00:00:00,£8.96,0.026,,,0.026,£8.96,,,,,,,1
,U13470,UNIVERSITY OF EDINBURGH,U13470*1*18,UNIVERSITY OF EDINBURGH,ARCADIA NURSERY,63 WEST MAINS ROAD,EDINBURGH,EH9 3JE,1807785*18*00303100,EDINBURGH DEPOT,00303100,1100L WHEELIE BIN,1.1,150106,Mixed Recycling,004*418118,RECYCLING TRADE WASTE,24/11/2015 00:00:00,£5.54,0.028,0.028,£5.54,,,,,,,,,1
,U13470,UNIVERSITY OF EDINBURGH,U13470*1*18,UNIVERSITY OF EDINBURGH,ARCADIA NURSERY,63 WEST MAINS ROAD,EDINBURGH,EH9 3JE,1807785*18*00303100,EDINBURGH DEPOT,00303100,1100L WHEELIE BIN,1.1,150106,Mixed Recycling,004*424492,RECYCLING TRADE WASTE,27/11/2015 00:00:00,£5.54,0.040,0.040,£5.54,,,,,,,,,1
